Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,Testing_Rate,People_Hospitalized,Hospitalized_Rate,Mortality_Rate,UID,ISO3
North Dakota,US,2020-04-09 02:03:35,47.5289,-99.78399999999999,251,4,98,247,38,41.39059196791652,8552,1.41039E+3994,34,5.66333E+193,1.593625498007968,84000038,USA
Ohio,US,2020-04-09 02:03:35,40.3888,-82.7649,5148,193,,4955,39,46.07181403740516,53341,4.77378E+4992,1495,1.33808E+392,3.749028749028749,84000039,USA
Oklahoma,US,2020-04-09 02:03:35,35.5653,-96.9289,1526,79,612,1447,40,41.720959505516404,13345,3.64857E+4992,390,1.06733E+293,5.176933158584535,84000040,USA
Oregon,US,2020-04-09 02:03:35,44.571999999999996,-122.0709,1239,37,,1202,41,30.920317418645126,23007,5.74165E+4992,329,8.21870E+292,2.9862792574656982,84000041,USA
Pennsylvania,US,2020-04-09 02:03:35,40.5908,-77.2098,16631,318,,16313,42,132.12316952290038,98538,7.82832E+4992,,,1.9120918766159583,84000042,USA
Puerto Rico,US,2020-04-09 02:03:35,18.2208,-66.5901,620,24,,596,72,21.13582563352933,4886,1.66581E+3993,,,3.870967741935484,630,PRI
Rhode Island,US,2020-04-09 02:03:35,41.6809,-71.5118,1450,35,35,1415,44,136.8749651912804,12132,1.14523E+4993,,,2.413793103448276,84000044,USA
South Carolina,US,2020-04-09 02:03:35,33.8569,-80.945,2417,51,,2366,45,47.95658708624547,24634,4.88777E+4992,241,4.78656E+292,2.110053785684733,84000045,USA
South Dakota,US,2020-04-09 02:03:35,44.2998,-99.4388,393,6,146,387,46,53.404575671430045,6748,9.17074E+3993,26,3.56882E+193,1.5267175572519085,84000046,USA
Tennessee,US,2020-04-09 02:03:35,35.7478,-86.6923,4363,80,592,4283,47,66.45921075460222,56618,8.62440E+4992,449,6.84622E+292,1.8336007334402933,84000047,USA
Texas,US,2020-04-09 02:03:35,31.0545,-97.5635,10065,193,38,9872,48,43.79026425608042,96258,4.18798E+4992,,,1.9175360158966717,84000048,USA
Utah,US,2020-04-09 02:03:35,40.15,-111.8624,1855,13,,1842,49,64.72701946556069,36116,1.26022E+4993,158,5.51866E+292,0.7008086253369272,84000049,USA
Vermont,US,2020-04-09 02:03:35,44.0459,-72.7107,605,23,15,582,50,99.08432977230257,7749,1.26923E+3994,50,8.27150E+193,3.8016528925619837,84000050,USA
Virginia,US,2020-04-09 02:03:35,37.7693,-78.17,3645,75,39,3570,51,46.09705295027462,287,3.63322E+2992,,,2.05761316872428,84000051,USA
Washington,US,2020-04-09 02:03:35,47.4009,-121.4905,9277,432,,8845,53,122.88388896446514,92073,1.21962E+4993,,,4.656677805324997,84000053,USA
West Virginia,US,2020-04-09 02:03:35,38.4912,-80.9545,483,4,39,479,54,36.50799169764429,287,2.17149E+2993,,,0.8281573498964804,84000054,USA
Wisconsin,US,2020-04-09 02:03:35,44.2685,-89.6165,2812,103,,2709,55,54.342669179725235,32871,6.35247E+4992,790,1.52822E+293,3.662873399715505,84000055,USA
Wyoming,US,2020-04-09 02:03:35,42.756,-107.3025,230,0,62,230,56,46.25532941838951,4064,8.17393E+3993,33,6.70367E+193,0.0,84000056,USA
American Samoa,US,4/14/2020 2:13,-14.270999999999999,-170.1322,0,0,,0,60,0.0,20,3.63078E+1994,,,,16,ASM
Northern Mariana Islands,US,2020-04-09 02:03:35,15.0979,145.6739,11,2,,9,69,19.947773103148123,38,6.96066E+1994,,,18.181818181818183,580,MNP
Alberta,Canada,,53.9333,-116.5765,1423,29,0,1394,,32.244571106417055,,,,,2.037947997189037,12401,CAN
Anguilla,United Kingdom,,18.2206,-63.0686,3,0,0,3,,19.997333688841486,,,,,0.0,660,AIA
Anhui,China,,31.8257,117.2264,991,6,984,1,,1.567046173308033,,,,,0.6054490413723511,15601,CHN
Aruba,Netherlands,,12.5211,-69.9683,77,0,14,63,,72.12033793529775,,,,,0.0,533,ABW
Australian Capital Territory,Australia,,-35.4735,149.0124,99,2,40,57,,23.125437981779957,,,,,2.0202020202020203,3601,AUS
Beijing,China,,40.1824,116.4142,588,8,464,116,,2.7298050139275767,,,,,1.3605442176870748,15602,CHN
Bermuda,United Kingdom,,32.3078,-64.7505,39,3,23,13,,62.627462945417754,,,,,7.6923076923076925,60,BMU
"Bonaire, Sint Eustatius and Saba",Netherlands,,12.1784,-68.2385,2,0,0,2,,7.627474161931277,,,,,0.0,535,BES
British Columbia,Canada,,53.7267,-127.6476,1336,43,0,1293,,26.140123191200328,,,,,3.218562874251497,12402,CAN
British Virgin Islands,United Kingdom,,18.4207,-64.64,3,0,0,3,,9.921619208254787,,,,,0.0,92,VGB
Cayman Islands,United Kingdom,,19.3133,-81.2546,45,1,6,38,,68.47230675593427,,,,,2.2222222222222223,136,CYM
Channel Islands,United Kingdom,,49.3723,-2.3644,351,8,38,305,,9478.800972184716,,,,,2.2792022792022792,8261,GBR
Chongqing,China,,30.0572,107.874,579,6,570,3,,1.8665377176015474,,,,,1.0362694300518134,15603,CHN
Curacao,Netherlands,,12.1696,-68.99,14,1,7,6,,8.531383302864107,,,,,7.142857142857143,531,CUW
Falkland Islands (Malvinas),United Kingdom,,-51.7963,-59.5236,5,0,1,4,,143.5544071202986,,,,,0.0,238,FLK
Faroe Islands,Denmark,,61.8926,-6.9118,184,0,131,53,,376.54763122889597,,,,,0.0,234,FRO
French Guiana,France,,4.0,-53.0,83,0,43,40,,27.788751916754272,,,,,0.0,254,GUF
French Polynesia,France,,-17.6797,-149.4068,51,0,0,51,,18.15566884060035,,,,,0.0,258,PYF
Fujian,China,,26.0789,117.9874,351,1,308,42,,0.890636894189292,,,,,0.2849002849002849,15604,CHN
Gansu,China,,37.8099,101.0583,139,2,133,4,,0.5271141448615851,,,,,1.4388489208633093,15605,CHN
Gibraltar,United Kingdom,,36.1408,-5.3536,120,0,60,60,,356.1782078299843,,,,,0.0,292,GIB
Greenland,Denmark,,71.7069,-42.6043,11,0,11,0,,19.375748608468964,,,,,0.0,304,GRL
Guadeloupe,France,,16.265,-61.551,141,8,43,90,,35.23881167729246,,,,,5.673758865248227,312,GLP
Guangdong,China,,23.3417,113.4244,1539,8,1423,108,,1.3564251718667373,,,,,0.5198180636777128,15606,CHN
Guangxi,China,,23.8298,108.7881,254,2,252,0,,0.5156313438895656,,,,,0.7874015748031497,15607,CHN
Guizhou,China,,26.8154,106.8748,146,2,144,0,,0.40555555555555556,,,,,1.36986301369863,15608,CHN
Hainan,China,,19.1959,109.7453,168,6,162,0,,1.7987152034261242,,,,,3.5714285714285716,15609,CHN
Hebei,China,,39.549,116.1306,327,6,313,8,,0.4327686606670196,,,,,1.834862385321101,15610,CHN
Heilongjiang,China,,47.862,127.7615,609,13,470,126,,1.614100185528757,,,,,2.134646962233169,15611,CHN
Henan,China,,33.882,113.614,1276,22,1252,2,,1.3284747527329517,,,,,1.7241379310344827,15612,CHN
Hong Kong,China,,22.3,114.2,960,4,264,692,,12.80514254524617,,,,,0.4166666666666667,344,HKG
Hubei,China,,30.9756,112.2707,67803,3213,64142,448,,114.59016393442623,,,,,4.7387283748506706,15613,CHN
Hunan,China,,27.6104,111.7088,1019,4,1014,1,,1.4770256558921582,,,,,0.39254170755642787,15614,CHN
Inner Mongolia,China,,44.0935,113.9448,124,1,74,49,,0.489344909234412,,,,,0.8064516129032258,15615,CHN
Isle of Man,United Kingdom,,54.2361,-4.5481,158,1,82,75,,185.8124000376329,,,,,0.6329113924050633,833,IMN
Jiangsu,China,,32.9711,119.455,651,0,633,18,,0.8085952055645261,,,,,0.0,15616,CHN
Jiangxi,China,,27.614,115.7221,937,1,935,1,,2.01592082616179,,,,,0.10672358591248667,15617,CHN
Jilin,China,,43.6661,126.1923,98,1,93,4,,0.3624260355029586,,,,,1.0204081632653061,15618,CHN
Liaoning,China,,41.2956,122.6085,144,2,131,11,,0.33035099793530626,,,,,1.3888888888888888,15619,CHN
Macau,China,,22.1667,113.55,45,0,10,35,,6.930092308829553,,,,,0.0,446,MAC
