Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
New York,US,2020-04-07 16:25:43,42.1657,-74.9481,131830,4758,13366.0,127072.0,36.0,529161.481957211,320811,30203,3.6091936584995827,84036123.0,USA
North Carolina,US,2020-04-07 16:25:43,35.6301,-79.8064,3056,50,,3006.0,37.0,16912.944822624384,41082,,1.6361256544502618,84037199.0,USA
North Dakota,US,2020-04-07 16:25:43,47.5289,-99.78399999999999,225,3,74.0,222.0,38.0,598.5793716246774,7213,32,1.3333333333333333,84038105.0,USA
Ohio,US,2020-04-07 16:25:43,40.3888,-82.7649,4453,142,,4311.0,39.0,20452.875252618043,48378,1214,3.18886144172468,84039175.0,USA
Oklahoma,US,2020-04-07 16:25:43,35.5653,-96.9289,1329,51,,1278.0,40.0,6575.627133739053,13148,340,3.8374717832957113,84040153.0,USA
Oregon,US,2020-04-07 16:25:43,44.571999999999996,-122.0709,1132,29,,1103.0,41.0,1056.9561157796452,21801,404,2.5618374558303887,84041071.0,USA
Pennsylvania,US,2020-04-07 16:25:43,40.5908,-77.2098,13206,179,,13027.0,42.0,2940.822789038387,83854,1613,1.3554444949265485,84042133.0,USA
Puerto Rico,US,2020-04-07 16:25:43,18.2208,-66.5901,573,23,,550.0,72.0,19.53359369034243,4539,,4.013961605584642,630.0,PRI
Rhode Island,US,2020-04-07 16:25:43,41.6809,-71.5118,1082,27,35.0,1055.0,44.0,861.6227493888211,8481,,2.4953789279112755,84044009.0,USA
South Carolina,US,2020-04-07 16:25:43,33.8569,-80.945,2232,48,,2184.0,45.0,794.3654152089658,21384,241,2.150537634408602,84045091.0,USA
South Dakota,US,2020-04-07 16:25:43,44.2998,-99.4388,288,4,91.0,284.0,46.0,10449.927431059506,6020,23,1.3888888888888888,84046137.0,USA
Tennessee,US,2020-04-07 16:25:43,35.7478,-86.6923,3802,65,356.0,3737.0,47.0,2628.286221890403,47350,352,1.7096265123619148,84047189.0,USA
Texas,US,2020-04-07 16:25:43,31.0545,-97.5635,8157,153,38.0,8004.0,48.0,68893.58108108108,85357,1153,1.8756895917616772,84048507.0,USA
Utah,US,2020-04-07 16:25:43,40.15,-111.8624,1687,13,,1674.0,49.0,648.3150342219643,33394,138,0.7705986959098993,84049057.0,USA
Vermont,US,2020-04-07 16:25:43,44.0459,-72.7107,543,23,15.0,520.0,50.0,986.1610548109404,7129,45,4.23572744014733,84050027.0,USA
Virginia,US,2020-04-07 16:25:43,37.7693,-78.17,2878,66,36.0,2812.0,51.0,10250.01780753615,265,,2.2932592077831826,84051840.0,USA
Washington,US,2020-04-07 16:25:43,47.4009,-121.4905,8384,383,,8001.0,53.0,3341.929980508066,91775,,4.568225190839694,84053077.0,USA
West Virginia,US,2020-04-07 16:25:43,38.4912,-80.9545,345,4,36.0,341.0,54.0,1691.6740217711092,265,,1.1594202898550725,84054109.0,USA
Wisconsin,US,2020-04-07 16:25:43,44.2685,-89.6165,2511,85,,2426.0,55.0,3439.773147577364,29014,668,3.38510553564317,84055141.0,USA
Wyoming,US,2020-04-07 16:25:43,42.756,-107.3025,212,0,52.0,212.0,56.0,3060.4879457196475,3931,23,0.0,84056045.0,USA
American Samoa,US,4/14/2020 2:13,-14.270999999999999,-170.1322,0,0,,0.0,60.0,0.0,20,,,16.0,ASM
Northern Mariana Islands,US,2020-04-07 16:25:43,15.0979,145.6739,8,1,,7.0,69.0,14.507471347744088,23,,12.5,580.0,MNP
Alberta,Canada,,53.9333,-116.5765,1348,24,0.0,1324.0,,30.54510319848924,,,1.7804154302670623,12401.0,CAN
Anguilla,United Kingdom,,18.2206,-63.0686,3,0,0.0,3.0,,19.997333688841486,,,0.0,660.0,AIA
Anhui,China,,31.8257,117.2264,990,6,984.0,0.0,,1.5654648956356736,,,0.6060606060606061,15601.0,CHN
Aruba,Netherlands,,12.5211,-69.9683,71,0,2.0,69.0,,66.5005713429369,,,0.0,533.0,ABW
Australian Capital Territory,Australia,,-35.4735,149.0124,96,2,40.0,54.0,,22.424667133847233,,,2.0833333333333335,3601.0,AUS
Beijing,China,,40.1824,116.4142,587,8,448.0,131.0,,2.725162488393686,,,1.362862010221465,15602.0,CHN
Bermuda,United Kingdom,,32.3078,-64.7505,39,2,17.0,20.0,,62.627462945417754,,,5.128205128205129,60.0,BMU
"Bonaire, Sint Eustatius and Saba",Netherlands,,12.1784,-68.2385,2,0,0.0,2.0,,7.627474161931277,,,0.0,535.0,BES
British Columbia,Canada,,53.7267,-127.6476,1266,39,0.0,1227.0,,24.770505958128453,,,3.080568720379147,12402.0,CAN
British Virgin Islands,United Kingdom,,18.4207,-64.64,3,0,0.0,3.0,,9.921619208254787,,,0.0,92.0,VGB
Cayman Islands,United Kingdom,,19.3133,-81.2546,39,1,1.0,37.0,,59.34266585514303,,,2.5641025641025643,136.0,CYM
Channel Islands,United Kingdom,,49.3723,-2.3644,335,7,34.0,294.0,,9046.718876586552,,,2.08955223880597,8261.0,GBR
Chongqing,China,,30.0572,107.874,579,6,570.0,3.0,,1.8665377176015474,,,1.0362694300518134,15603.0,CHN
Curacao,Netherlands,,12.1696,-68.99,13,1,5.0,7.0,,7.921998781230957,,,7.6923076923076925,531.0,CUW
Falkland Islands (Malvinas),United Kingdom,,-51.7963,-59.5236,2,0,0.0,2.0,,57.421762848119435,,,0.0,238.0,FLK
Faroe Islands,Denmark,,61.8926,-6.9118,184,0,120.0,64.0,,376.54763122889597,,,0.0,234.0,FRO
