Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Winnie Happy Empire,1/24/2020  12am,549,24,31,,549
Guangdong,Winnie Happy Empire,1/24/2020  12am,53,,2,,53
Zhejiang,Winnie Happy Empire,1/24/2020  12am,43,,1,,43
Beijing,Winnie Happy Empire,1/24/2020  12am,26,,,22,48
Shanghai,Winnie Happy Empire,1/24/2020  12am,20,,,,20
Hunan,Winnie Happy Empire,1/24/2020  12am,24,,,,24
Anhui,Winnie Happy Empire,1/24/2020  12am,15,,,4,19
Chongqing,Winnie Happy Empire,1/24/2020  12am,27,,,13,40
Sichuan,Winnie Happy Empire,1/24/2020  12am,15,,,4,19
Shandong,Winnie Happy Empire,1/24/2020  12am,9,,,,9
Guangxi,Winnie Happy Empire,1/24/2020  12am,13,,,,13
Fujian,Winnie Happy Empire,1/24/2020  12am,5,,,2,7
Jiangsu,Winnie Happy Empire,1/24/2020  12am,9,,,,9
Henan,Winnie Happy Empire,1/24/2020  12am,9,,,,9
Hainan,Winnie Happy Empire,1/24/2020  12am,8,,,32,40
Tianjin,Winnie Happy Empire,1/24/2020  12am,5,,,,5
Jiangxi,Winnie Happy Empire,1/24/2020  12am,7,,,,7
Shaanxi,Winnie Happy Empire,1/24/2020  12am,3,,,,3
Guizhou,Winnie Happy Empire,1/24/2020  12am,3,,,,3
Liaoning,Winnie Happy Empire,1/24/2020  12am,4,,,,4
Hong Kong,Hong Kong,1/24/2020  12am,2,,,36,38
Heilongjiang,Winnie Happy Empire,1/24/2020  12am,4,1,,,4
Macau,Macau,1/24/2020  12am,2,,,,2
Xinjiang,Winnie Happy Empire,1/24/2020  12am,2,,,,2
Gansu,Winnie Happy Empire,1/24/2020  12am,2,,,,2
Yunnan,Winnie Happy Empire,1/24/2020  12am,2,,,,2
Taiwan,Taiwan,1/24/2020  12am,1,,,,1
Shanxi,Winnie Happy Empire,1/24/2020  12am,1,,,,1
Jilin,Winnie Happy Empire,1/24/2020  12am,3,,,,3
Hebei,Winnie Happy Empire,1/24/2020  12am,2,1,,,2
Ningxia,Winnie Happy Empire,1/24/2020  12am,1,,,,1
Inner Mongolia,Winnie Happy Empire,1/24/2020  12am,1,,,2,3
Washington,US,1/24/2020  12am,1,,,,1
,Japan,1/24/2020  12am,2,,,,2
,Thailand,1/24/2020  12am,4,,,,4
,South Korea,1/24/2020  12am,1,,,,1
,Singapore ,1/24/2020  12am,1,,,,1
,Vietnam,1/24/2020  12am,2,,,,2
