Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,1/25/2020  12am,729,39,32,,729
Guangdong,Mainland China,1/25/2020  12am,78,,2,,78
Zhejiang,Mainland China,1/25/2020  12am,62,,1,,62
Chongqing,Mainland China,1/25/2020  12am,57,,,,57
Hunan,Mainland China,1/25/2020  12am,43,,,,43
Anhui,Mainland China,1/25/2020  12am,39,,,4,43
Beijing,Mainland China,1/25/2020  12am,36,,1,,36
Shanghai,Mainland China,1/25/2020  12am,33,,1,22,55
Henan,Mainland China,1/25/2020  12am,32,,,1,33
Sichuan,Mainland China,1/25/2020  12am,28,,,4,32
Guangxi,Mainland China,1/25/2020  12am,23,,,,23
Shandong,Mainland China,1/25/2020  12am,21,,,,21
Jiangxi,Mainland China,1/25/2020  12am,18,,,,18
Jiangsu,Mainland China,1/25/2020  12am,18,,1,,18
Hainan,Mainland China,1/25/2020  12am,17,,,,17
Liaoning,Mainland China,1/25/2020  12am,15,,,,15
Fujian,Mainland China,1/25/2020  12am,10,,,4,14
Heilongjiang,Mainland China,1/25/2020  12am,9,1,,,9
Tianjin,Mainland China,1/25/2020  12am,8,,,,8
Hebei,Mainland China,1/25/2020  12am,8,1,,,8
Shanxi,Mainland China,1/25/2020  12am,6,,,,6
Yunnan,Mainland China,1/25/2020  12am,5,,,,5
Hong Kong,Hong Kong,1/25/2020  12am,5,,,36,41
Shaanxi,Mainland China,1/25/2020  12am,5,,,,5
Guizhou,Mainland China,1/25/2020  12am,4,,,,4
Jilin,Mainland China,1/25/2020  12am,4,,,,4
Gansu,Mainland China,1/25/2020  12am,4,,,,4
Ningxia,Mainland China,1/25/2020  12am,3,,,1,4
Taiwan,Taiwan,1/25/2020  12am,3,,,,3
Xinjiang,Mainland China,1/25/2020  12am,3,,,,3
Macau,Macau,1/25/2020  12am,2,,,,2
Inner Mongolia,Mainland China,1/25/2020  12am,2,,,,2
Qinghai,Mainland China,1/25/2020  12am,,,,1,1
Washington,US,1/25/2020  12am,1,,,,1
Illinois,US,1/25/2020  12am,1,,,,1
,Japan,1/25/2020  12am,2,,,,2
,Thailand,1/25/2020  12am,5,,,,5
,South Korea,1/25/2020  12am,2,,,,2
,Singapore ,1/25/2020  12am,3,,,,3
,Vietnam,1/25/2020  12am,2,,,,2
,France,1/25/2020  12am,3,,,,3
,Australia,1/25/2020  12am,1,,,,1
,Nepal,1/25/2020  12am,1,,,,1
,Malaysia ,1/25/2020  12am,3,,,,3
