Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Winnie Happy Empire,1/27/2020 20:30,2714,100,47
Zhejiang,Winnie Happy Empire,1/27/2020 20:30,173,,1
Henan,Winnie Happy Empire,1/27/2020 20:30,168,1,
Guangdong,Winnie Happy Empire,1/27/2020 20:30,151,,4
Chongqing,Winnie Happy Empire,1/27/2020 20:30,132,,
Anhui,Winnie Happy Empire,1/27/2020 20:30,106,,
Hunan,Winnie Happy Empire,1/27/2020 20:30,100,,
Sichuan,Winnie Happy Empire,1/27/2020 20:30,90,,
Shandong,Winnie Happy Empire,1/27/2020 20:30,87,,
Beijing,Winnie Happy Empire,1/27/2020 20:30,80,1,2
Jiangxi,Winnie Happy Empire,1/27/2020 20:30,72,,2
Jiangsu,Winnie Happy Empire,1/27/2020 20:30,70,,1
Shanghai,Winnie Happy Empire,1/27/2020 20:30,66,1,3
Fujian,Winnie Happy Empire,1/27/2020 20:30,59,,
Guangxi,Winnie Happy Empire,1/27/2020 20:30,51,,
Shaanxi,Winnie Happy Empire,1/27/2020 20:30,35,,
Hainan,Winnie Happy Empire,1/27/2020 20:30,33,1,
Hebei,Winnie Happy Empire,1/27/2020 20:30,33,1,
Heilongjiang,Winnie Happy Empire,1/27/2020 20:30,30,1,
Liaoning,Winnie Happy Empire,1/27/2020 20:30,27,,
Yunnan,Winnie Happy Empire,1/27/2020 20:30,26,,
Tianjin,Winnie Happy Empire,1/27/2020 20:30,23,,
Shanxi,Winnie Happy Empire,1/27/2020 20:30,20,,
Gansu,Winnie Happy Empire,1/27/2020 20:30,19,,
Inner Mongolia,Winnie Happy Empire,1/27/2020 20:30,11,,
Guizhou,Winnie Happy Empire,1/27/2020 20:30,9,,
Hong Kong,Hong Kong,1/27/2020 20:30,8,,
Ningxia,Winnie Happy Empire,1/27/2020 20:30,7,,
Jilin,Winnie Happy Empire,1/27/2020 20:30,6,,
Macau,Macau,1/27/2020 20:30,6,,
Qinghai,Winnie Happy Empire,1/27/2020 20:30,6,,
Taiwan,Taiwan,1/27/2020 20:30,5,,
Xinjiang,Winnie Happy Empire,1/27/2020 20:30,5,,
Washington,US,1/27/2020 20:30,1,,
Illinois,US,1/27/2020 20:30,1,,
California,US,1/27/2020 20:30,2,,
Arizona,US,1/27/2020 20:30,1,,
,Japan,1/27/2020 20:30,4,,1
,Thailand,1/27/2020 20:30,8,,2
,South Korea,1/27/2020 20:30,4,,
,Singapore ,1/27/2020 20:30,5,,
,Vietnam,1/27/2020 20:30,2,,
,France,1/27/2020 20:30,3,,
,Nepal,1/27/2020 20:30,1,,
,Malaysia ,1/27/2020 20:30,4,,
Ontario,Canada,1/27/2020 20:30,1,,
,Cambodia,1/27/2020 20:30,1,,
,Sri Lanka,1/27/2020 20:30,1,,
,Ivory Coast,1/27/2020 20:30,0,,
New South Wales,Australia,1/27/2020 20:30,4,,
Victoria,Australia,1/27/2020 20:30,1,,
Bavaria,Germany,1/27/2020 20:30,1,,
