Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,2020-1-25  12am,729,39,32,,729
Guangdong,Mainland China,2020-1-25  12am,78,,2,,78
Zhejiang,Mainland China,2020-1-25  12am,62,,1,,62
Chongqing,Mainland China,2020-1-25  12am,57,,,,57
Hunan,Mainland China,2020-1-25  12am,43,,,,43
Anhui,Mainland China,2020-1-25  12am,39,,,4,43
Beijing,Mainland China,2020-1-25  12am,36,,1,,36
Shanghai,Mainland China,2020-1-25  12am,33,,1,22,55
Henan,Mainland China,2020-1-25  12am,32,,,1,33
Sichuan,Mainland China,2020-1-25  12am,28,,,4,32
Guangxi,Mainland China,2020-1-25  12am,23,,,,23
Shandong,Mainland China,2020-1-25  12am,21,,,,21
Jiangxi,Mainland China,2020-1-25  12am,18,,,,18
Jiangsu,Mainland China,2020-1-25  12am,18,,1,,18
Hainan,Mainland China,2020-1-25  12am,17,,,,17
Liaoning,Mainland China,2020-1-25  12am,15,,,,15
Fujian,Mainland China,2020-1-25  12am,10,,,4,14
Heilongjiang,Mainland China,2020-1-25  12am,9,1,,,9
Tianjin,Mainland China,2020-1-25  12am,8,,,,8
Hebei,Mainland China,2020-1-25  12am,8,1,,,8
Shanxi,Mainland China,2020-1-25  12am,6,,,,6
Yunnan,Mainland China,2020-1-25  12am,5,,,,5
Hong Kong,Hong Kong,2020-1-25  12am,5,,,36,41
Shaanxi,Mainland China,2020-1-25  12am,5,,,,5
Guizhou,Mainland China,2020-1-25  12am,4,,,,4
Jilin,Mainland China,2020-1-25  12am,4,,,,4
Gansu,Mainland China,2020-1-25  12am,4,,,,4
Ningxia,Mainland China,2020-1-25  12am,3,,,1,4
Taiwan,Taiwan,2020-1-25  12am,3,,,,3
Xinjiang,Mainland China,2020-1-25  12am,3,,,,3
Macau,Macau,2020-1-25  12am,2,,,,2
Inner Mongolia,Mainland China,2020-1-25  12am,2,,,,2
Qinghai,Mainland China,2020-1-25  12am,,,,1,1
Washington,US,2020-1-25  12am,1,,,,1
Illinois,US,2020-1-25  12am,1,,,,1
,Japan,2020-1-25  12am,2,,,,2
,Thailand,2020-1-25  12am,5,,,,5
,South Korea,2020-1-25  12am,2,,,,2
,Singapore ,2020-1-25  12am,3,,,,3
,Vietnam,2020-1-25  12am,2,,,,2
,France,2020-1-25  12am,3,,,,3
,Australia,2020-1-25  12am,1,,,,1
,Nepal,2020-1-25  12am,1,,,,1
,Malaysia ,2020-1-25  12am,3,,,,3
