Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,1/24/2020  12pm,549,24,31,,549
Guangdong,Mainland China,1/24/2020  12pm,53,,2,,53
Zhejiang,Mainland China,1/24/2020  12pm,43,,1,,43
Beijing,Mainland China,1/24/2020  12pm,36,,1,,36
Chongqing,Mainland China,1/24/2020  12pm,27,,,13,40
Hunan,Mainland China,1/24/2020  12pm,24,,,,24
Guangxi,Mainland China,1/24/2020  12pm,23,,,,23
Shanghai,Mainland China,1/24/2020  12pm,20,,1,22,42
Jiangxi,Mainland China,1/24/2020  12pm,18,,,,18
Sichuan,Mainland China,1/24/2020  12pm,15,,,4,19
Shandong,Mainland China,1/24/2020  12pm,15,,,,15
Anhui,Mainland China,1/24/2020  12pm,15,,,4,19
Fujian,Mainland China,1/24/2020  12pm,10,,,2,12
Henan,Mainland China,1/24/2020  12pm,9,,,42,51
Jiangsu,Mainland China,1/24/2020  12pm,9,,,,9
Hainan,Mainland China,1/24/2020  12pm,8,,,32,40
Tianjin,Mainland China,1/24/2020  12pm,8,,,,8
Yunnan,Mainland China,1/24/2020  12pm,5,,,,5
Shaanxi,Mainland China,1/24/2020  12pm,5,,,,5
Heilongjiang,Mainland China,1/24/2020  12pm,4,1,,,4
Liaoning,Mainland China,1/24/2020  12pm,4,,,,4
Guizhou,Mainland China,1/24/2020  12pm,3,,,,3
Jilin,Mainland China,1/24/2020  12pm,3,,,,3
Taiwan,Taiwan,1/24/2020  12pm,3,,,,3
Ningxia,Mainland China,1/24/2020  12pm,2,,,1,3
Hong Kong,Hong Kong,1/24/2020  12pm,2,,,36,38
Macau,Macau,1/24/2020  12pm,2,,,,2
Hebei,Mainland China,1/24/2020  12pm,2,1,,,2
Gansu,Mainland China,1/24/2020  12pm,2,,,,2
Xinjiang,Mainland China,1/24/2020  12pm,2,,,,2
Shanxi,Mainland China,1/24/2020  12pm,1,,,,1
Inner Mongolia,Mainland China,1/24/2020  12pm,1,,,2,3
Qinghai,Mainland China,1/24/2020  12pm,,,,1,1
Washington,US,1/24/2020  12pm,1,,,,1
Chicago,US,1/24/2020  12pm,1,,,,1
,Japan,1/24/2020  12pm,2,,,,2
,Thailand,1/24/2020  12pm,5,,,,5
,South Korea,1/24/2020  12pm,2,,,,2
,Singapore ,1/24/2020  12pm,3,,,,3
,Vietnam,1/24/2020  12pm,2,,,,2
,France,1/24/2020  4pm,2,,,,
