Country_Region,Case_Type,Date,Cases,Table Names,Difference,Prep_Flow_Runtime,Latest_Date,Province_State,Lat,Long
US,Deaths,3/19/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,1/30/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/18/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/3/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/1/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/10/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/21/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,1/24/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/20/2020,23,Time Series,12,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,1/30/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/16/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,2/10/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/8/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Confirmed,3/17/2020,8,Time Series,3,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
US,Deaths,2/9/2020,0,Time Series,0,3/25/2020 3:38:52 PM,3/24/2020,Idaho,44.2405,-114.4788
