Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-02-10T23:33:02Z,31728,974,2222,,
Guangdong,Mainland China,2020-02-10T13:43:02Z,1159,1,167,,
Zhejiang,Mainland China,2020-02-10T14:13:12Z,1092,0,242,,
Henan,Mainland China,2020-02-10T13:53:02Z,1073,6,191,,
Hunan,Mainland China,2020-02-10T13:53:02Z,879,1,208,,
Anhui,Mainland China,2020-02-10T07:23:04Z,830,3,88,,
Jiangxi,Mainland China,2020-02-10T13:53:02Z,771,1,105,,
Jiangsu,Mainland China,2020-02-10T14:03:05Z,492,0,81,,
Chongqing,Mainland China,2020-02-10T23:43:02Z,486,2,66,,
Shandong,Mainland China,2020-02-10T09:33:02Z,466,1,66,,
Sichuan,Mainland China,2020-02-10T10:03:02Z,405,1,80,,
Beijing,Mainland China,2020-02-10T03:13:08Z,337,2,44,,
Heilongjiang,Mainland China,2020-02-10T07:33:05Z,331,7,30,,
Shanghai,Mainland China,2020-02-10T06:03:13Z,299,1,48,,
Fujian,Mainland China,2020-02-10T14:03:05Z,261,0,39,,
Hebei,Mainland China,2020-02-10T10:03:02Z,218,2,41,,
Shaanxi,Mainland China,2020-02-10T13:23:06Z,213,0,30,,
Guangxi,Mainland China,2020-02-10T14:03:05Z,210,1,24,,
Yunnan,Mainland China,2020-02-10T09:43:02Z,149,0,19,,
Hainan,Mainland China,2020-02-10T09:33:02Z,138,3,19,,
Diamond Princess cruise ship,Others,2020-02-10T16:03:12Z,135,0,0,,
Shanxi,Mainland China,2020-02-09T23:43:02Z,119,0,25,,
Guizhou,Mainland China,2020-02-10T12:33:02Z,109,1,10,,
Liaoning,Mainland China,2020-02-10T14:03:05Z,108,0,13,,
Tianjin,Mainland China,2020-02-10T14:23:08Z,95,1,8,,
Gansu,Mainland China,2020-02-10T07:23:04Z,83,2,17,,
Jilin,Mainland China,2020-02-10T14:03:05Z,80,1,13,,
Inner Mongolia,Mainland China,2020-02-10T02:43:05Z,58,0,5,,
Ningxia,Mainland China,2020-02-10T01:43:02Z,49,0,13,,
Xinjiang,Mainland China,2020-02-10T01:13:06Z,49,0,0,,
,Singapore,2020-02-10T19:03:02Z,45,0,2,,
Hong Kong,Hong Kong,2020-02-10T10:13:06Z,38,1,0,,
,Thailand,2020-02-08T12:53:01Z,32,0,10,,
,South Korea,2020-02-10T03:03:09Z,27,0,3,,
,Japan,2020-02-10T21:33:02Z,26,0,4,,
Qinghai,Mainland China,2020-02-06T02:13:15Z,18,0,3,,
,Malaysia,2020-02-10T03:03:09Z,18,0,1,,
Taiwan,Taiwan,2020-02-09T09:13:11Z,18,0,1,,
,Germany,2020-02-09T06:13:11Z,14,0,0,,
,Vietnam,2020-02-10T03:03:09Z,14,0,1,,
,France,2020-02-08T09:53:01Z,11,0,0,,
Macau,Macau,2020-02-06T14:23:04Z,10,0,1,,
,UK,2020-02-10T19:03:02Z,8,0,0,,
,United Arab Emirates,2020-02-10T23:03:09Z,8,0,0,,
Queensland,Australia,2020-02-09T19:33:02Z,5,0,0,,
New South Wales,Australia,2020-02-06T03:13:22Z,4,0,2,,
Victoria,Australia,2020-02-01T18:12:49Z,4,0,0,,
British Columbia,Canada,2020-02-07T05:43:03Z,4,0,0,,
,India,2020-02-03T21:43:02Z,3,0,0,,
,Italy,2020-02-07T17:53:02Z,3,0,0,,
,Philippines,2020-02-07T16:43:04Z,3,1,0,,
South Australia,Australia,2020-02-02T22:33:07Z,2,0,0,,
"Toronto, ON",Canada,2020-02-04T00:13:06Z,2,0,0,,
,Russia,2020-01-31T16:13:45Z,2,0,0,,
,Spain,2020-02-09T20:33:03Z,2,0,0,,
"Chicago, IL",US,2020-02-09T19:03:03Z,2,0,2,,
"San Benito, CA",US,2020-02-03T03:53:02Z,2,0,0,,
"Santa Clara, CA",US,2020-02-03T00:43:02Z,2,0,0,,
,Belgium,2020-02-04T15:43:02Z,1,0,0,,
,Cambodia,2020-01-31T08:15:53Z,1,0,0,,
"London, ON",Canada,2020-02-04T00:03:11Z,1,0,0,,
,Finland,2020-01-31T08:15:53Z,1,0,0,,
Tibet,Mainland China,2020-02-01T01:52:40Z,1,0,0,,
,Nepal,2020-01-31T08:15:53Z,1,0,0,,
,Sri Lanka,2020-02-08T03:43:03Z,1,0,1,,
,Sweden,2020-02-01T02:13:26Z,1,0,0,,
"Boston, MA",US,2020-02-01T19:43:03Z,1,0,0,,
"Los Angeles, CA",US,2020-02-01T19:53:03Z,1,0,0,,
"Madison, WI",US,2020-02-05T21:53:02Z,1,0,0,,
"Orange, CA",US,2020-02-01T19:53:03Z,1,0,0,,
"Seattle, WA",US,2020-02-09T07:03:04Z,1,0,1,,
"Tempe, AZ",US,2020-02-01T19:43:03Z,1,0,0,,
