Province/State,Country/Region,CountryAlpha2,CountryAlpha3,M49Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,CN,CHN,Asia,2020-02-15T23:13:05,56249,1596,5623
Guangdong,Mainland China,CN,CHN,Asia,2020-02-15T14:03:04,1294,2,410
Henan,Mainland China,CN,CHN,Asia,2020-02-15T12:13:08,1212,13,391
Zhejiang,Mainland China,CN,CHN,Asia,2020-02-15T11:23:17,1162,0,428
Hunan,Mainland China,CN,CHN,Asia,2020-02-15T13:03:04,1001,2,425
Anhui,Mainland China,CN,CHN,Asia,2020-02-15T12:13:08,950,6,221
Jiangxi,Mainland China,CN,CHN,Asia,2020-02-15T01:33:02,913,1,210
Jiangsu,Mainland China,CN,CHN,Asia,2020-02-15T12:13:08,604,0,186
Chongqing,Mainland China,CN,CHN,Asia,2020-02-15T23:23:07,544,5,184
Shandong,Mainland China,CN,CHN,Asia,2020-02-15T11:23:17,532,2,156
Sichuan,Mainland China,CN,CHN,Asia,2020-02-15T08:43:03,470,1,119
Heilongjiang,Mainland China,CN,CHN,Asia,2020-02-15T11:43:01,425,11,68
Beijing,Mainland China,CN,CHN,Asia,2020-02-15T09:53:01,375,4,98
Shanghai,Mainland China,CN,CHN,Asia,2020-02-15T03:13:06,326,1,124
Hebei,Mainland China,CN,CHN,Asia,2020-02-15T13:03:04,291,3,101
Fujian,Mainland China,CN,CHN,Asia,2020-02-15T13:03:04,285,0,71
Diamond Princess cruise ship,Others,,,,2020-02-15T17:03:04,285,0,0
Guangxi,Mainland China,CN,CHN,Asia,2020-02-15T06:33:01,235,2,44
Shaanxi,Mainland China,CN,CHN,Asia,2020-02-15T12:13:08,232,0,60
Yunnan,Mainland China,CN,CHN,Asia,2020-02-15T06:33:01,168,0,42
Hainan,Mainland China,CN,CHN,Asia,2020-02-15T11:23:17,162,4,39
Guizhou,Mainland China,CN,CHN,Asia,2020-02-15T14:53:04,143,1,41
Shanxi,Mainland China,CN,CHN,Asia,2020-02-15T23:13:05,128,0,46
Tianjin,Mainland China,CN,CHN,Asia,2020-02-15T13:43:01,122,3,37
Liaoning,Mainland China,CN,CHN,Asia,2020-02-15T09:53:01,119,1,31
Gansu,Mainland China,CN,CHN,Asia,2020-02-15T12:13:08,90,2,49
Jilin,Mainland China,CN,CHN,Asia,2020-02-15T12:13:08,88,1,26
,Singapore,SG,SGP,Asia,2020-02-15T23:53:02,72,0,18
Ningxia,Mainland China,CN,CHN,Asia,2020-02-15T08:43:03,70,0,33
Xinjiang,Mainland China,CN,CHN,Asia,2020-02-15T09:53:01,70,1,10
Inner Mongolia,Mainland China,CN,CHN,Asia,2020-02-15T14:03:04,68,0,7
Hong Kong,Hong Kong,HK,HKG,Asia,2020-02-14T09:03:12,56,1,1
,Japan,JP,JPN,Asia,2020-02-15T17:43:06,43,1,12
,Thailand,TH,THA,Asia,2020-02-13T17:53:03,33,0,12
,South Korea,,,,2020-02-15T23:33:02,28,0,9
,Malaysia,MY,MYS,Asia,2020-02-15T23:43:02,22,0,7
Qinghai,Mainland China,CN,CHN,Asia,2020-02-15T08:43:03,18,0,13
Taiwan,Taiwan,TW,TWN,,2020-02-15T03:43:02,18,0,2
,Germany,DE,DEU,Europe,2020-02-13T15:13:11,16,0,1
,Vietnam,VN,VNM,Asia,2020-02-13T06:33:02,16,0,7
,France,FR,FRA,Europe,2020-02-15T20:53:02,12,1,4
Macau,Macau,MO,MAC,Asia,2020-02-13T14:13:06,10,0,3
,UK,GB,GBR,Europe,2020-02-12T19:03:06,9,0,1
,United Arab Emirates,,,,2020-02-15T06:03:03,8,0,3
Queensland,Australia,AU,AUS,Oceania,2020-02-09T19:33:02,5,0,0
New South Wales,Australia,AU,AUS,Oceania,2020-02-13T17:53:03,4,0,4
Victoria,Australia,AU,AUS,Oceania,2020-02-13T17:53:03,4,0,4
British Columbia,Canada,CA,CAN,Americas,2020-02-07T05:43:03,4,0,0
,India,IN,IND,Asia,2020-02-13T18:53:02,3,0,0
,Italy,IT,ITA,Europe,2020-02-07T17:53:02,3,0,0
,Philippines,PH,PHL,Asia,2020-02-12T07:43:02,3,1,1
South Australia,Australia,AU,AUS,Oceania,2020-02-02T22:33:07,2,0,0
"Toronto, ON",Canada,CA,CAN,Americas,2020-02-04T00:13:06,2,0,0
,Russia,,,,2020-02-12T14:43:03,2,0,2
,Spain,ES,ESP,Europe,2020-02-15T17:23:04,2,0,2
"Chicago, IL",US,US,USA,Americas,2020-02-09T19:03:03,2,0,2
"San Benito, CA",US,US,USA,Americas,2020-02-03T03:53:02,2,0,0
"San Diego County, CA",US,US,USA,Americas,2020-02-13T03:13:08,2,0,0
"Santa Clara, CA",US,US,USA,Americas,2020-02-03T00:43:02,2,0,0
,Belgium,BE,BEL,Europe,2020-02-04T15:43:02,1,0,0
,Cambodia,KH,KHM,Asia,2020-02-12T07:43:02,1,0,1
"London, ON",Canada,CA,CAN,Americas,2020-02-12T18:53:03,1,0,1
,Egypt,EG,EGY,Africa,2020-02-14T23:53:02,1,0,0
,Finland,FI,FIN,Europe,2020-02-12T00:03:12,1,0,1
Tibet,Mainland China,CN,CHN,Asia,2020-02-12T06:43:02,1,0,1
,Nepal,NP,NPL,Asia,2020-02-12T14:43:03,1,0,1
,Sri Lanka,LK,LKA,Asia,2020-02-08T03:43:03,1,0,1
,Sweden,SE,SWE,Europe,2020-02-01T02:13:26,1,0,0
"Boston, MA",US,US,USA,Americas,2020-02-01T19:43:03,1,0,0
"Los Angeles, CA",US,US,USA,Americas,2020-02-01T19:53:03,1,0,0
"Madison, WI",US,US,USA,Americas,2020-02-05T21:53:02,1,0,0
"Orange, CA",US,US,USA,Americas,2020-02-01T19:53:03,1,0,0
"San Antonio, TX",US,US,USA,Americas,2020-02-13T18:53:02,1,0,0
"Seattle, WA",US,US,USA,Americas,2020-02-09T07:03:04,1,0,1
"Tempe, AZ",US,US,USA,Americas,2020-02-01T19:43:03,1,0,0
