Province/State,Country/Region,First confirmed date in country,Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM,02/08/2020 10:24 AM
Heilongjiang,Mainland China,1/3/2020,47.861999999999995,127.7622,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,4.0,7.0,7.0,8.0,8.0,12.0,13
Henan,Mainland China,1/3/2020,33.882020000000004,113.61399999999999,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,14.0,14.0,20.0,41.0,47.0,54.0,56.0,56.0,86.0,116
Hubei,Mainland China,1/3/2020,30.975640000000002,112.2707,25.0,28.0,28.0,31.0,31.0,32.0,32.0,42.0,42.0,44.0,45.0,45.0,47.0,52.0,80.0,80.0,80.0,88.0,90.0,90.0,141.0,168.0,295.0,386.0,396.0,522.0,537.0,651.0,712.0,712.0,867.0,1218
Hunan,Mainland China,1/3/2020,27.610409999999998,111.7088,,,,,,,,,,,,,,,,,,,,2.0,2.0,8.0,16.0,22.0,22.0,35.0,53.0,56.0,81.0,81.0,112.0,156
Inner Mongolia,Mainland China,1/3/2020,44.09448,113.9456,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,5
Jiangsu,Mainland China,1/3/2020,32.97027,119.464,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,7.0,8.0,8.0,13.0,23.0,29.0,34.0,34.0,43.0,51
Jiangxi,Mainland China,1/3/2020,27.614009999999997,115.7221,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,7.0,9.0,18.0,18.0,19.0,27.0,27.0,37.0,37.0,37.0,45.0,55
Jilin,Mainland China,1/3/2020,43.66657,126.1917,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4
Liaoning,Mainland China,1/3/2020,41.292840000000005,122.6086,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,5.0,5.0,7.0,8
Ningxia,Mainland China,1/3/2020,37.26923,106.1655,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,15
Qinghai,Mainland China,1/3/2020,35.65945,96.02564,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3.0,3.0,3.0,3.0,3.0,3
Shaanxi,Mainland China,1/3/2020,35.19165,108.8701,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,6.0,7.0,9.0,9.0,17.0,20
Shandong,Mainland China,1/3/2020,36.34377,118.1529,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,3.0,6.0,7.0,7.0,13.0,15.0,21.0,27.0,27.0,37.0,44
Shanghai,Mainland China,1/3/2020,31.20327,121.4554,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,9.0,10.0,10.0,10.0,10.0,12.0,15.0,25.0,25.0,25.0,30.0,41
Shanxi,Mainland China,1/3/2020,37.577690000000004,112.2922,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,6.0,8.0,12.0,15.0,20
Sichuan,Mainland China,1/3/2020,30.617140000000003,102.7103,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,12.0,14.0,14.0,23.0,24.0,27.0,31.0,31.0,42.0,60
Tianjin,Mainland China,1/3/2020,39.293620000000004,117.333,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4
Tibet,Mainland China,1/3/2020,30.1534,88.7879,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
Xinjiang,Mainland China,1/3/2020,41.11981,85.17822,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0
Yunnan,Mainland China,1/3/2020,24.97411,101.4868,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,12.0,17
Zhejiang,Mainland China,1/3/2020,29.182509999999997,120.0985,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,14.0,21.0,36.0,43.0,48.0,63.0,78.0,81.0,94.0,94.0,123.0,175
Hong Kong,Hong Kong,1/23/2020,22.3193,114.1694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Macau,Macau,1/22/2020,22.1987,113.5439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1
Taiwan,Taiwan,1/21/2020,23.6978,120.9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1
"Seattle, WA",US,1/21/2020,47.7511,-120.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
