Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Hubei,Mainland China,1/24/2020  12pm,30.97564,112.2707,549,24,31,,549
Guangdong,Mainland China,1/24/2020  12pm,23.33841,113.422,53,,2,,53
Zhejiang,Mainland China,1/24/2020  12pm,29.18251,120.0985,43,,1,,43
Beijing,Mainland China,1/24/2020  12pm,40.18238,116.4142,36,,1,,36
Chongqing,Mainland China,1/24/2020  12pm,30.05718,107.874,27,,,13,40
Hunan,Mainland China,1/24/2020  12pm,27.61041,111.7088,24,,,,24
Guangxi,Mainland China,1/24/2020  12pm,23.82908,108.7881,23,,,,23
Shanghai,Mainland China,1/24/2020  12pm,31.20327,121.4554,20,,1,22,42
Jiangxi,Mainland China,1/24/2020  12pm,27.61401,115.7221,18,,,,18
Sichuan,Mainland China,1/24/2020  12pm,30.61714,102.7103,15,,,4,19
Shandong,Mainland China,1/24/2020  12pm,36.34377,118.1529,15,,,,15
Anhui,Mainland China,1/24/2020  12pm,31.82571,117.2264,15,,,4,19
Fujian,Mainland China,1/24/2020  12pm,26.07783,117.9895,10,,,2,12
Henan,Mainland China,1/24/2020  12pm,33.88202,113.614,9,,,42,51
Jiangsu,Mainland China,1/24/2020  12pm,32.97027,119.464,9,,,,9
Hainan,Mainland China,1/24/2020  12pm,19.19673,109.7455,8,,,32,40
Tianjin,Mainland China,1/24/2020  12pm,39.29362,117.333,8,,,,8
Yunnan,Mainland China,1/24/2020  12pm,24.97411,101.4868,5,,,,5
Shaanxi,Mainland China,1/24/2020  12pm,35.19165,108.8701,5,,,,5
Heilongjiang,Mainland China,1/24/2020  12pm,47.862,127.7622,4,1,,,4
Liaoning,Mainland China,1/24/2020  12pm,41.29284,122.6086,4,,,,4
Guizhou,Mainland China,1/24/2020  12pm,26.81536,106.8748,3,,,,3
Jilin,Mainland China,1/24/2020  12pm,43.66657,126.1917,3,,,,3
Taiwan,Taiwan,1/24/2020  12pm,23.6978,120.9605,3,,,,3
Ningxia,Mainland China,1/24/2020  12pm,37.26923,106.1655,2,,,1,3
Hong Kong,Hong Kong,1/24/2020  12pm,22.3193,114.1694,2,,,36,38
Macau,Macau,1/24/2020  12pm,22.1987,113.5439,2,,,,2
Hebei,Mainland China,1/24/2020  12pm,38.0428,114.5149,2,1,,,2
Gansu,Mainland China,1/24/2020  12pm,36.0611,103.8343,2,,,,2
Xinjiang,Mainland China,1/24/2020  12pm,41.11981,85.17822,2,,,,2
Shanxi,Mainland China,1/24/2020  12pm,37.57769,112.2922,1,,,,1
Inner Mongolia,Mainland China,1/24/2020  12pm,44.09448,113.9456,1,,,2,3
Qinghai,Mainland China,1/24/2020  12pm,35.65945,96.02564,,,,1,1
Washington,US,1/24/2020  12pm,47.6062,-122.3321,1,,,,1
Chicago,US,1/24/2020  12pm,41.8781,-87.6298,1,,,,1
,Japan,1/24/2020  12pm,35.6762,139.6503,2,,,,2
,Thailand,1/24/2020  12pm,13.7563,100.5018,5,,,,5
,South Korea,1/24/2020  12pm,37.5665,126.978,2,,,,2
,Singapore ,1/24/2020  12pm,1.3521,103.8198,3,,,,3
,Vietnam,1/24/2020  12pm,21.0278,105.8342,2,,,,2
,France,1/24/2020  4pm,46.2276,2.2137,2,,,,
