Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Suspected,ConfnSusp
Anhui,Mainland China,1/23/20 12:00,31.82571,117.2264,9,,,4,13
Beijing,Mainland China,1/23/20 12:00,40.18238,116.4142,22,,,,22
Chongqing,Mainland China,1/23/20 12:00,30.05718,107.874,9,,,,9
Fujian,Mainland China,1/23/20 12:00,26.07783,117.9895,5,,,2,7
Gansu,Mainland China,1/23/20 12:00,37.90289,100.5863,2,,,,2
Guangdong,Mainland China,1/23/20 12:00,23.33841,113.422,32,,2,1,33
Guangxi,Mainland China,1/23/20 12:00,23.82908,108.7881,5,,,,5
Guizhou,Mainland China,1/23/20 12:00,26.81536,106.8748,3,,,,3
Hainan,Mainland China,1/23/20 12:00,19.19673,109.7455,5,,,32,37
Hebei,Mainland China,1/23/20 12:00,38.0428,114.5149,1,1,,,1
Heilongjiang,Mainland China,1/23/20 12:00,47.862,127.7622,2,,,,2
Henan,Mainland China,1/23/20 12:00,33.88202,113.614,5,,,,5
Hong Kong,Hong Kong,1/23/20 12:00,22.3193,114.1694,2,,,65,67
Hubei,Mainland China,1/23/20 12:00,30.97564,112.2707,444,17,28,,444
Hunan,Mainland China,1/23/20 12:00,27.61041,111.7088,9,,,,9
Inner Mongolia,Mainland China,1/23/20 12:00,44.09448,113.9456,,,,1,1
Jiangsu,Mainland China,1/23/20 12:00,32.97027,119.464,5,,,,5
Jiangxi,Mainland China,1/23/20 12:00,27.61401,115.7221,7,,,,7
Jilin,Mainland China,1/23/20 12:00,43.66657,126.1917,1,,,,1
Liaoning,Mainland China,1/23/20 12:00,41.29284,122.6086,3,,,,3
Macau,Macau,1/23/20 12:00,22.1987,113.5439,2,,,,2
Ningxia,Mainland China,1/23/20 12:00,37.26923,106.1655,1,,,,1
Qinghai,Mainland China,1/23/20 12:00,35.65945,96.02564,,,,,0
Shaanxi,Mainland China,1/23/20 12:00,35.19165,108.8701,3,,,1,4
Shandong,Mainland China,1/23/20 12:00,36.34377,118.1529,6,,,2,8
Shanghai,Mainland China,1/23/20 12:00,31.20327,121.4554,16,,,22,38
Shanxi,Mainland China,1/23/20 12:00,37.57769,112.2922,1,,,,1
Sichuan,Mainland China,1/23/20 12:00,30.61714,102.7103,8,,,2,10
Taiwan,Taiwan,1/23/20 12:00,23.6978,120.9605,1,,,,1
Tianjin,Mainland China,1/23/20 12:00,39.29362,117.333,4,,,,4
Tibet,Mainland China,1/23/20 12:00,31.69269,88.0925,,,,,0
Washington,US,1/23/20 12:00,47.6062,-122.3321,1,,,,1
Xinjiang,Mainland China,1/23/20 12:00,41.11981,85.17822,2,,,,2
Yunnan,Mainland China,1/23/20 12:00,24.97411,101.4868,2,,,,2
Zhejiang,Mainland China,1/23/20 12:00,29.18251,120.0985,27,,,,27
,Japan,1/23/20 12:00,35.6762,139.6503,1,,,,1
,Thailand,1/23/20 12:00,13.7563,100.5018,3,,,,3
,South Korea,1/23/20 12:00,37.5665,126.978,1,,,,1
,Singapore ,1/23/20 12:00,1.3521,103.8198,1,,,,1
,Philippines,1/23/20 12:00,14.5995,120.9842,,,,4,4
,Malaysia,1/23/20 12:00,3.139,101.6869,,,,4,4
,Vietnam,1/23/20 12:00,21.0278,105.8342,2,,,,2
,Australia,1/23/20 12:00,33.8688,151.2093,,,,1,1
,Mexico,1/23/20 12:00,19.4326,-99.1332,,,,1,1
,Brazil,1/23/20 12:00,-14.235,-51.9253,,,,1,1
,Colombia,1/23/20 12:00,4.5709,-74.2973,,,,1,1
