Country_Region,Population,Land Area,Groping1,Groping2
Puerto Rico,2860853,8870,The Americas,The Caribbean
Lithuania,2722289,62674,Europe,EU
Namibia,2540905,823290,Africa,Southern Africa
Gambia,2416668,10120,Africa,Western Africa
Botswana,2351627,566730,Africa,Southern Africa
Gabon,2225734,257670,Africa,Central Africa
Lesotho,2142249,30360,Africa,Southern Africa
North Macedonia,2083374,25220,Europe,Europe
Slovenia,2078938,20140,Europe,EU
Guinea-Bissau,1968001,28120,Africa,Western Africa
Latvia,1886198,62200,Europe,EU
Bahrain,1701575,760,Middle East,Middle East
Equatorial Guinea,1402985,28050,Africa,Central Africa
Trinidad and Tobago,1399488,5130,The Americas,The Caribbean
Estonia,1326535,42390,Europe,EU
Timor-Leste,1318445,14870,Asia,Southeast Asia
Mauritius,1271768,2030,Africa,Eastern Africa
Cyprus,1207359,9240,Europe,EU
Eswatini,1160164,17200,Africa,Southern Africa
Djibouti,988000,23180,Africa,Eastern Africa
Fiji,896445,18270,Oceania,Oceania
Reunion,895312,2500,Africa,Eastern Africa
Comoros,869601,1861,Africa,Eastern Africa
Guyana,786552,196850,The Americas,South America
Bhutan,771608,38117,Asia,South Asia
Solomon Islands,686884,27990,Oceania,Oceania
Macao - China,649335,30,Asia,East Asia
Montenegro,628066,13450,Europe,Europe
Luxembourg,625978,2590,Europe,EU
Western Sahara,597339,266000,Africa,Northern Africa
Suriname,586632,156000,The Americas,South America
Cabo Verde,555987,4030,Africa,Western Africa
Maldives,540544,300,Asia,South Asia
Malta,441543,320,Europe,EU
Brunei,437479,5270,Asia,Southeast Asia
Guadeloupe,400124,1690,The Americas,The Caribbean
Belize,397628,22810,The Americas,Central America
Bahamas,393244,10010,The Americas,The Caribbean
Martinique,375265,1060,The Americas,The Caribbean
Iceland,341243,100250,Europe,Europe
Vanuatu,307145,12190,Oceania,Oceania
French Guiana,298682,82200,The Americas,South America
Barbados,287375,430,The Americas,The Caribbean
New Caledonia,285498,18280,Oceania,Oceania
French Polynesia,280908,3660,Oceania,Oceania
Mayotte,272815,375,Africa,Eastern Africa
Sao Tome and Principe,219159,960,Africa,Central Africa
Samoa,198414,2830,Oceania,Oceania
Saint Lucia,183627,610,The Americas,The Caribbean
Channel Islands,173863,190,,
Guam,168775,540,Oceania,Oceania
Curacao,164093,444,,
Kiribati,119449,810,Oceania,Oceania
Micronesia,115023,700,Oceania,Oceania
Grenada,112523,340,The Americas,The Caribbean
Saint Vincent and the Grenadines,110940,390,The Americas,The Caribbean
Aruba,106766,180,The Americas,The Caribbean
Tonga,105695,720,Oceania,Oceania
U.S. Virgin Islands,104425,350,,
Seychelles,98347,460,Africa,Eastern Africa
Antigua and Barbuda,97929,440,The Americas,The Caribbean
Isle of Man,85033,570,,
Andorra,77265,470,Europe,Europe
Dominica,71986,750,The Americas,The Caribbean
Cayman Islands,65722,240,The Americas,The Caribbean
Bermuda,62278,50,The Americas,Northern America
Marshall Islands,59190,180,Oceania,Oceania
Northern Mariana Islands,57559,460,,
Greenland,56770,410450,The Americas,Northern America
American Samoa,55191,200,Oceania,Oceania
Saint Kitts and Nevis,53199,260,The Americas,The Caribbean
Faeroe Islands,48863,1396,,
Sint Maarten,42876,34,The Americas,The Caribbean
Monaco,39242,1,Europe,Europe
Turks and Caicos,38717,950,,
Saint Martin,38666,53,The Americas,The Caribbean
Liechtenstein,38128,160,Europe,Europe
San Marino,33931,60,Europe,Europe
Gibraltar,33691,10,Europe,Europe
British Virgin Islands,30231,150,The Americas,The Caribbean
Caribbean Netherlands,26223,328,,
Palau,18094,460,Oceania,Oceania
Cook Islands,17564,240,,
Anguilla,15003,90,The Americas,The Caribbean
Tuvalu,11792,30,Oceania,Oceania
Wallis and Futuna,11239,140,,
Nauru,10824,20,Oceania,Oceania
Saint Barthelemy,9877,21,The Americas,The Caribbean
Saint Helena,6077,390,Africa,Western Africa
Saint Pierre and Miquelon,5794,230,The Americas,Northern America
Montserrat,4992,100,,
Falkland Islands,3480,12170,,
Niue,1626,260,Oceania,Oceania
Tokelau,1357,10,,
Holy See,801,0,Europe,Europe
Kosovo,1810463,10887,Europe,Europe
