Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/29/2020 13:30,30.97564,112.2707,3554,125,80
Guangdong,Mainland China,1/29/2020 13:30,23.33841,113.422,277,,4
Zhejiang,Mainland China,1/29/2020 13:30,29.18251,120.0985,296,,3
Henan,Mainland China,1/29/2020 13:30,33.88202,113.614,206,2,1
Chongqing,Mainland China,1/29/2020 13:30,30.05718,107.874,147,,
Hunan,Mainland China,1/29/2020 13:30,27.61041,111.7088,221,,
Shandong,Mainland China,1/29/2020 13:30,36.34377,118.1529,130,,1
Beijing,Mainland China,1/29/2020 13:30,40.18238,116.4142,111,1,4
Anhui,Mainland China,1/29/2020 13:30,31.82571,117.2264,152,,2
Sichuan,Mainland China,1/29/2020 13:30,30.61714,102.7103,108,,
Fujian,Mainland China,1/29/2020 13:30,26.07783,117.9895,84,,
Shanghai,Mainland China,1/29/2020 13:30,31.20327,121.4554,96,1,4
Jiangxi,Mainland China,1/29/2020 13:30,27.61401,115.7221,109,,3
Jiangsu,Mainland China,1/29/2020 13:30,32.97027,119.464,99,,1
Guangxi,Mainland China,1/29/2020 13:30,23.82908,108.7881,58,,2
Shaanxi,Mainland China,1/29/2020 13:30,35.19165,108.8701,56,,
Hainan,Mainland China,1/29/2020 13:30,19.19673,109.7455,43,1,1
Liaoning,Mainland China,1/29/2020 13:30,41.29284,122.6086,39,,
Yunnan,Mainland China,1/29/2020 13:30,24.97411,101.4868,55,,
Tianjin,Mainland China,1/29/2020 13:30,39.29362,117.333,27,,
Heilongjiang,Mainland China,1/29/2020 13:30,47.862,127.7622,38,1,
Hebei,Mainland China,1/29/2020 13:30,38.0428,114.5149,48,1,
Gansu,Mainland China,1/29/2020 13:30,36.0611,103.8343,24,,
Shanxi,Mainland China,1/29/2020 13:30,37.57769,112.2922,27,,
Inner Mongolia,Mainland China,1/29/2020 13:30,44.09448,113.9456,16,,
Hong Kong,Hong Kong,1/29/2020 13:30,22.3193,114.1694,10,,
Guizhou,Mainland China,1/29/2020 13:30,26.81536,106.8748,9,,
Ningxia,Mainland China,1/29/2020 13:30,37.26923,106.1655,12,,
Jilin,Mainland China,1/29/2020 13:30,43.66657,126.1917,9,,
Macau,Macau,1/29/2020 13:30,22.1987,113.5439,7,,
Taiwan,Taiwan,1/29/2020 13:30,23.6978,120.9605,8,,
Xinjiang,Mainland China,1/29/2020 13:30,41.11981,85.17822,13,,
Qinghai,Mainland China,1/29/2020 13:30,35.65945,96.02564,6,,
Washington,US,1/29/2020 13:30,47.6062,-122.3321,1,,
Illinois,US,1/29/2020 13:30,41.8781,-87.6298,1,,
California,US,1/29/2020 13:30,36.7783,-119.4179,2,,
Arizona,US,1/29/2020 13:30,34.0489,-111.0937,1,,
Ontario,Canada,1/29/2020 13:30,43.6532,-79.3832,3,,
,Japan,1/29/2020 13:30,35.6762,139.6503,7,,1
,Thailand,1/29/2020 13:30,13.7563,100.5018,14,,5
,South Korea,1/29/2020 13:30,37.5665,126.978,4,,
,Singapore,1/29/2020 13:30,1.3521,103.8198,7,,
,Vietnam,1/29/2020 13:30,21.0278,105.8342,2,,
,Nepal,1/29/2020 13:30,28.3949,84.124,1,,
,Malaysia,1/29/2020 13:30,4.2105,101.9758,7,,
,Cambodia,1/29/2020 13:30,12.5657,104.991,1,,
,Sri Lanka,1/29/2020 13:30,7.8731,80.7718,1,,
New South Wales,Australia,1/29/2020 13:30,-31.2532,146.9211,4,,
Victoria,Australia,1/29/2020 13:30,-37.4713,144.7852,1,,
,Taiwan,1/29/2020 13:30,23.6978,120.9605,8,,
,United Arab Emirates,1/29/2020 13:30,23.4241,53.8478,4,,
,France,1/29/2020 13:30,46.2276,2.2137,4,,
Bavaria,Germany,1/29/2020 13:30,51.1657,10.4515,4,,
,Finland,1/29/2020 13:30,61.9241,25.7482,1,,
