Country,3/18/2020 18:53,3/18/2020 19:07,3/18/2020 19:17,3/18/2020 19:27,3/18/2020 20:09,3/18/2020 20:18,3/18/2020 20:28,3/18/2020 20:57,3/18/2020 21:07,3/18/2020 21:17,3/18/2020 21:27,3/18/2020 21:37,3/18/2020 21:47,3/18/2020 21:57,3/18/2020 22:07,3/18/2020 22:17,3/18/2020 22:27,3/18/2020 22:37,3/18/2020 22:47,3/18/2020 22:57,3/18/2020 23:07,3/18/2020 23:17,3/18/2020 23:27,3/18/2020 23:37,3/18/2020 23:47,3/18/2020 23:57,3/19/2020 0:07,3/19/2020 0:17,3/19/2020 0:27,3/19/2020 0:37,3/19/2020 0:47,3/19/2020 0:57,3/19/2020 1:07,3/19/2020 1:17,3/19/2020 1:27,3/19/2020 1:37,3/19/2020 1:47,3/19/2020 1:57,3/19/2020 2:07,3/19/2020 2:17,3/19/2020 2:27,3/19/2020 2:37,3/19/2020 2:47,3/19/2020 2:57,3/19/2020 3:07,3/19/2020 3:17,3/19/2020 3:27,3/19/2020 3:37,3/19/2020 3:47,3/19/2020 3:57,3/19/2020 4:17,3/19/2020 4:27,3/19/2020 4:37,3/19/2020 4:47,3/19/2020 4:57,3/19/2020 5:07,3/19/2020 5:28,3/19/2020 5:38,3/19/2020 6:02,3/19/2020 6:12,3/19/2020 6:22,3/19/2020 16:28,2020-03-19 16:39
Iceland,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,330,330
India,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,169,169,169,169,169,169,169,169,169,169,176,184,184
Indonesia,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,227,311,311,311
Iran,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,17361,18407,18407
Iraq,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,192,192
Ireland,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,292,366,366,366,366,366,366,366,366,366,366,366,557,557
Israel,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,433,573,573
Italy,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,35713,41035,41035
Japan,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,889,924,924,924
Jordan,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,56,56,56,56,56,56,56,56,56,56,56,69,69
