cnty	ProvinceState	CountryRegion	reportdt	latfill	longfill	confirmed	deaths	recovered	statename
(null)	"Santa Clara, CA"	"US"	"2020-03-05"	37.354100000000000	-121.955200000000000	40	0	2	"California"
(null)	"El Paso County, CO"	"US"	"2020-03-07"	38.910800000000000	-104.472300000000000	3	0	0	"Colorado"
(null)	"Denver County, CO"	"US"	"2020-03-06"	39.739200000000000	-104.990300000000000	8	0	0	"Colorado"
(null)	"Summit County, CO"	"US"	"2020-03-06"	39.591200000000000	-106.064000000000000	8	0	0	"Colorado"
(null)	"Douglas County, CO"	"US"	"2020-03-07"	39.258700000000000	-104.938900000000000	9	0	0	"Colorado"
(null)	"Fairfield County, CT"	"US"	"2020-03-07"	41.256000000000000	-73.370900000000000	2	0	0	"Connecticut"
(null)	"Fairfield County, CT"	"US"	"2020-03-08"	41.256000000000000	-73.370900000000000	2	0	0	"Connecticut"
(null)	"Hillsborough, FL"	"US"	"2020-03-02"	27.990400000000000	-82.301800000000000	1	0	0	"Florida"
(null)	"Santa Rosa County, FL"	"US"	"2020-03-08"	30.769000000000000	-86.982400000000000	2	2	0	"Florida"
(null)	"Manatee County, FL"	"US"	"2020-03-08"	27.479900000000000	-82.345200000000000	1	0	0	"Florida"
(null)	"Hillsborough, FL"	"US"	"2020-03-03"	27.990400000000000	-82.301800000000000	14	0	0	"Florida"
(null)	"Charlotte County, FL"	"US"	"2020-03-09"	26.894600000000000	-81.909800000000000	1	0	0	"Florida"
(null)	"Sarasota, FL"	"US"	"2020-03-02"	27.336400000000000	-82.530700000000000	8	0	0	"Florida"
(null)	"Lee County, FL"	"US"	"2020-03-08"	26.663000000000000	-81.953500000000000	4	2	0	"Florida"
(null)	"Volusia County, FL"	"US"	"2020-03-08"	29.028000000000000	-81.075500000000000	2	0	0	"Florida"
(null)	"Lee County, FL"	"US"	"2020-03-07"	26.663000000000000	-81.953500000000000	2	0	0	"Florida"
(null)	"Santa Rosa County, FL"	"US"	"2020-03-05"	30.769000000000000	-86.982400000000000	3	0	0	"Florida"
(null)	"Okaloosa County, FL"	"US"	"2020-03-08"	30.577300000000000	-86.661100000000000	2	0	0	"Florida"
(null)	"Broward County, FL"	"US"	"2020-03-09"	26.190100000000000	-80.365900000000000	3	0	0	"Florida"
(null)	"Broward County, FL"	"US"	"2020-03-07"	26.190100000000000	-80.365900000000000	4	0	0	"Florida"
(null)	"Manatee County, FL"	"US"	"2020-03-09"	27.479900000000000	-82.345200000000000	2	0	0	"Florida"
(null)	"Polk County, GA"	"US"	"2020-03-08"	34.013200000000000	-85.147900000000000	2	0	0	"Georgia"
(null)	"Fulton County, GA"	"US"	"2020-03-07"	33.803400000000000	-84.396300000000000	6	0	0	"Georgia"
(null)	"Floyd County, GA"	"US"	"2020-03-07"	34.282900000000000	-85.230800000000000	2	0	0	"Georgia"
(null)	"Cobb County, GA"	"US"	"2020-03-07"	33.899900000000000	-84.564100000000000	2	0	0	"Georgia"
(null)	"Floyd County, GA"	"US"	"2020-03-06"	34.282900000000000	-85.230800000000000	1	0	0	"Georgia"
(null)	"Fulton County, GA"	"US"	"2020-03-03"	33.803400000000000	-84.396300000000000	8	0	0	"Georgia"
(null)	"Fulton County, GA"	"US"	"2020-03-09"	33.803400000000000	-84.396300000000000	5	0	0	"Georgia"
(null)	"Cobb County, GA"	"US"	"2020-03-09"	33.899900000000000	-84.564100000000000	3	0	0	"Georgia"
(null)	"Cherokee County, GA"	"US"	"2020-03-09"	34.251500000000000	-84.480300000000000	1	0	0	"Georgia"
(null)	"Honolulu County, HI"	"US"	"2020-03-07"	21.307000000000000	-157.858400000000000	2	0	0	"Hawaii"
(null)	"Honolulu County, HI"	"US"	"2020-03-09"	21.307000000000000	-157.858400000000000	2	0	0	"Hawaii"
(null)	"Chicago, IL"	"US"	"2020-02-09"	41.878100000000000	-87.629800000000000	42	0	42	"Illinois"
(null)	"Chicago, IL"	"US"	"2020-03-01"	41.878100000000000	-87.629800000000000	3	0	2	"Illinois"
(null)	"Cook County, IL"	"US"	"2020-03-02"	41.737700000000000	-87.697600000000000	12	0	6	"Illinois"
(null)	"Cook County, IL"	"US"	"2020-03-08"	41.737700000000000	-87.697600000000000	14	0	4	"Illinois"
(null)	"Cook County, IL"	"US"	"2020-03-07"	41.737700000000000	-87.697600000000000	6	0	2	"Illinois"
(null)	"Cook County, IL"	"US"	"2020-03-05"	41.737700000000000	-87.697600000000000	10	0	4	"Illinois"
(null)	"Chicago, IL"	"US"	"2020-02-01"	41.878100000000000	-87.629800000000000	16	0	0	"Illinois"
(null)	"Hendricks County, IN"	"US"	"2020-03-09"	39.806500000000000	-86.540100000000000	2	0	0	"Indiana"
(null)	"Marion County, IN"	"US"	"2020-03-06"	39.836200000000000	-86.175200000000000	4	0	0	"Indiana"
(null)	"Hendricks County, IN"	"US"	"2020-03-08"	39.806500000000000	-86.540100000000000	1	0	0	"Indiana"
(null)	"Johnson County, IA"	"US"	"2020-03-09"	41.669900000000000	-91.598400000000000	3	0	0	"Iowa"
(null)	"Johnson County, KS"	"US"	"2020-03-08"	38.845400000000000	-94.852100000000000	2	0	0	"Kansas"
(null)	"Fayette County, KY"	"US"	"2020-03-06"	38.060600000000000	-84.480300000000000	4	0	0	"Kentucky"
(null)	"Jefferson County, KY"	"US"	"2020-03-09"	38.193800000000000	-85.643500000000000	1	0	0	"Kentucky"
(null)	"Harrison County, KY"	"US"	"2020-03-09"	38.433300000000000	-84.354200000000000	2	0	0	"Kentucky"
(null)	"Jefferson Parish, LA"	"US"	"2020-03-09"	29.649900000000000	-90.112100000000000	1	0	0	"Louisiana"
(null)	"Montgomery County, MD"	"US"	"2020-03-08"	39.154700000000000	-77.240500000000000	8	0	0	"Maryland"
(null)	"Harford County, MD"	"US"	"2020-03-08"	39.583900000000000	-76.363700000000000	2	0	0	"Maryland"
(null)	"Montgomery County, MD"	"US"	"2020-03-06"	39.154700000000000	-77.240500000000000	6	0	0	"Maryland"
(null)	"Suffolk County, MA"	"US"	"2020-03-06"	42.360100000000000	-71.058900000000000	6	0	2	"Massachusetts"
(null)	"Suffolk County, MA"	"US"	"2020-03-08"	42.360100000000000	-71.058900000000000	16	0	2	"Massachusetts"
(null)	" Norfolk County, MA"	"US"	"2020-03-06"	42.176700000000000	-71.144900000000000	4	0	0	"Massachusetts"
(null)	"Norwell County, MA"	"US"	"2020-03-06"	42.161500000000000	-70.792800000000000	1	0	0	"Massachusetts"
(null)	"Berkshire County, MA"	"US"	"2020-03-08"	42.311800000000000	-73.182200000000000	2	0	0	"Massachusetts"
(null)	"Middlesex County, MA"	"US"	"2020-03-06"	42.467200000000000	-70.716800000000000	1	0	0	"Massachusetts"
(null)	"Boston, MA"	"US"	"2020-02-01"	42.360100000000000	-71.058900000000000	27	0	0	"Massachusetts"
(null)	"Norfolk County, MA"	"US"	"2020-03-08"	42.176700000000000	-71.144900000000000	12	0	0	"Massachusetts"
(null)	"Unknown Location, MA"	"US"	"2020-03-08"	42.407200000000000	-71.382400000000000	2	0	0	"Massachusetts"
(null)	"Middlesex County, MA"	"US"	"2020-03-07"	42.467200000000000	-70.716800000000000	1	0	0	"Massachusetts"
(null)	"Boston, MA"	"US"	"2020-02-28"	42.360100000000000	-71.058900000000000	7	0	7	"Massachusetts"
(null)	" Norfolk County, MA"	"US"	"2020-03-03"	42.176700000000000	-71.144900000000000	3	0	0	"Massachusetts"
(null)	"Middlesex County, MA"	"US"	"2020-03-08"	42.467200000000000	-70.716800000000000	14	0	0	"Massachusetts"
(null)	"Plymouth County, MA"	"US"	"2020-03-07"	42.161500000000000	-70.792800000000000	3	0	0	"Massachusetts"
(null)	"Ramsey County, MN"	"US"	"2020-03-06"	44.996400000000000	-93.061600000000000	4	0	0	"Minnesota"
(null)	"Carver County, MN"	"US"	"2020-03-09"	44.825400000000000	-93.784200000000000	1	0	0	"Minnesota"
(null)	"St. Louis County, MO"	"US"	"2020-03-08"	38.610300000000000	-90.412500000000000	2	0	0	"Missouri"
(null)	"Omaha, NE (From Diamond Princess)"	"US"	"2020-02-24"	41.254500000000000	-95.975800000000000	0	0	0	"Nebraska"
(null)	"Omaha, NE (From Diamond Princess)"	"US"	"2020-02-22"	41.254500000000000	-95.975800000000000	22	0	0	"Nebraska"
(null)	"Ashland, NE"	"US"	"2020-02-21"	(null)	(null)	11	0	0	"Nebraska"
(null)	"Douglas County, NE"	"US"	"2020-03-06"	41.314800000000000	-96.195100000000000	3	0	0	"Nebraska"
(null)	"Douglas County, NE"	"US"	"2020-03-09"	41.314800000000000	-96.195100000000000	3	0	0	"Nebraska"
(null)	"Washoe County, NV"	"US"	"2020-03-06"	40.560800000000000	-119.603500000000000	2	0	0	"Nevada"
(null)	"Clark County, NV"	"US"	"2020-03-08"	36.079600000000000	-115.094000000000000	4	0	0	"Nevada"
(null)	"Clark County, NV"	"US"	"2020-03-05"	36.079600000000000	-115.094000000000000	3	0	0	"Nevada"
(null)	"Washoe County, NV"	"US"	"2020-03-08"	40.560800000000000	-119.603500000000000	4	0	0	"Nevada"
(null)	"Grafton County, NH"	"US"	"2020-03-03"	43.908800000000000	-71.826000000000000	10	0	0	"New Hampshire"
(null)	"Rockingham County, NH"	"US"	"2020-03-08"	42.993100000000000	-71.049800000000000	2	0	0	"New Hampshire"
(null)	"Grafton County, NH"	"US"	"2020-03-08"	43.908800000000000	-71.826000000000000	8	0	0	"New Hampshire"
(null)	"Rockingham County, NH"	"US"	"2020-03-09"	42.993100000000000	-71.049800000000000	1	0	0	"New Hampshire"
(null)	"Grafton County, NH"	"US"	"2020-03-02"	43.908800000000000	-71.826000000000000	1	0	0	"New Hampshire"
(null)	"Bergen County, NJ"	"US"	"2020-03-07"	40.926300000000000	-74.077000000000000	4	0	0	"New Jersey"
(null)	"Bergen County, NJ"	"US"	"2020-03-05"	40.926300000000000	-74.077000000000000	4	0	0	"New Jersey"
(null)	"Bergen County, NJ"	"US"	"2020-03-08"	40.926300000000000	-74.077000000000000	8	0	0	"New Jersey"
(null)	"Hudson County, NJ"	"US"	"2020-03-08"	40.745300000000000	-74.053500000000000	2	0	0	"New Jersey"
(null)	"Westchester County, NY"	"US"	"2020-03-09"	41.122000000000000	-73.794900000000000	98	0	0	"New York"
(null)	"Suffolk County, NY"	"US"	"2020-03-08"	40.984900000000000	-72.615100000000000	2	0	0	"New York"
(null)	"New York County, NY"	"US"	"2020-03-07"	40.712800000000000	-74.006000000000000	11	0	0	"New York"
(null)	"New York County, NY"	"US"	"2020-03-09"	40.712800000000000	-74.006000000000000	19	0	0	"New York"
(null)	"Ulster County, NY"	"US"	"2020-03-08"	41.858600000000000	-74.311800000000000	2	0	0	"New York"
(null)	"Westchester County, NY"	"US"	"2020-03-04"	41.122000000000000	-73.794900000000000	10	0	0	"New York"
(null)	"Westchester County, NY"	"US"	"2020-03-07"	41.122000000000000	-73.794900000000000	57	0	0	"New York"
(null)	"Saratoga County, NY"	"US"	"2020-03-07"	43.032400000000000	-73.936000000000000	6	0	0	"New York"
(null)	"Nassau County, NY"	"US"	"2020-03-06"	40.654600000000000	-73.559400000000000	1	0	0	"New York"
(null)	"Queens County, NY"	"US"	"2020-03-05"	40.728200000000000	-73.794900000000000	1	0	0	"New York"
(null)	"New York City, NY"	"US"	"2020-03-02"	40.712800000000000	-74.006000000000000	3	0	0	"New York"
(null)	"Westchester County, NY"	"US"	"2020-03-06"	41.122000000000000	-73.794900000000000	19	0	0	"New York"
(null)	"Rockland County, NY"	"US"	"2020-03-09"	41.148900000000000	-73.983000000000000	4	0	0	"New York"
(null)	"Rockland County, NY"	"US"	"2020-03-07"	41.148900000000000	-73.983000000000000	4	0	0	"New York"
(null)	"Nassau County, NY"	"US"	"2020-03-08"	40.654600000000000	-73.559400000000000	5	0	0	"New York"
(null)	"Westchester County, NY"	"US"	"2020-03-08"	41.122000000000000	-73.794900000000000	83	0	0	"New York"
(null)	"Nassau County, NY"	"US"	"2020-03-07"	40.654600000000000	-73.559400000000000	4	0	0	"New York"
(null)	"New York City, NY"	"US"	"2020-03-05"	40.712800000000000	-74.006000000000000	4	0	0	"New York"
(null)	"New York County, NY"	"US"	"2020-03-08"	40.712800000000000	-74.006000000000000	12	0	0	"New York"
(null)	"Westchester County, NY"	"US"	"2020-03-05"	41.122000000000000	-73.794900000000000	18	0	0	"New York"
(null)	"New York County, NY"	"US"	"2020-03-06"	40.712800000000000	-74.006000000000000	16	0	0	"New York"
(null)	"Westchester County, NY"	"US"	"2020-03-03"	41.122000000000000	-73.794900000000000	1	0	0	"New York"
(null)	"Nassau County, NY"	"US"	"2020-03-09"	40.654600000000000	-73.559400000000000	17	0	0	"New York"
(null)	"Chatham County, NC"	"US"	"2020-03-06"	35.721100000000000	-79.178100000000000	4	0	0	"North Carolina"
(null)	"Wake County, NC"	"US"	"2020-03-03"	35.803200000000000	-78.566100000000000	7	0	0	"North Carolina"
(null)	"Tulsa County, OK"	"US"	"2020-03-07"	36.159300000000000	-95.941000000000000	3	0	0	"Oklahoma"
(null)	"Umatilla, OR"	"US"	"2020-03-02"	45.775000000000000	-118.760600000000000	8	0	0	"Oregon"
(null)	"Marion County, OR"	"US"	"2020-03-08"	44.844600000000000	-122.592700000000000	2	0	0	"Oregon"
(null)	"Portland, OR"	"US"	"2020-03-02"	45.505100000000000	-122.675000000000000	2	0	0	"Oregon"
(null)	"Douglas County, OR"	"US"	"2020-03-08"	43.126100000000000	-123.249200000000000	2	0	0	"Oregon"
(null)	"Washington County, OR"	"US"	"2020-03-07"	45.547000000000000	-123.138600000000000	3	0	0	"Oregon"
(null)	"Jackson County, OR "	"US"	"2020-03-08"	42.334500000000000	-122.764700000000000	4	0	0	"Oregon"
(null)	"Klamath County, OR"	"US"	"2020-03-07"	42.695300000000000	-121.614200000000000	3	0	0	"Oregon"
(null)	"Washington County, OR"	"US"	"2020-03-03"	45.547000000000000	-123.138600000000000	8	0	0	"Oregon"
(null)	"Washington County, OR"	"US"	"2020-03-08"	45.547000000000000	-123.138600000000000	16	0	0	"Oregon"
(null)	"Jackson County, OR "	"US"	"2020-03-07"	42.334500000000000	-122.764700000000000	1	0	0	"Oregon"
(null)	"Portland, OR"	"US"	"2020-02-29"	45.505100000000000	-122.675000000000000	2	0	0	"Oregon"
(null)	"Montgomery County, PA"	"US"	"2020-03-08"	40.229000000000000	-75.387900000000000	4	0	0	"Pennsylvania"
(null)	"Delaware County, PA"	"US"	"2020-03-06"	39.907800000000000	-75.387900000000000	4	0	0	"Pennsylvania"
(null)	"Montgomery County, PA"	"US"	"2020-03-09"	40.229000000000000	-75.387900000000000	5	0	0	"Pennsylvania"
(null)	"Wayne County, PA"	"US"	"2020-03-06"	41.673900000000000	-75.247900000000000	4	0	0	"Pennsylvania"
(null)	"Providence County, RI"	"US"	"2020-03-07"	41.888200000000000	-71.477400000000000	9	0	0	"Rhode Island"
(null)	"Providence, RI"	"US"	"2020-03-01"	41.824000000000000	-71.412800000000000	1	0	0	"Rhode Island"
(null)	"Providence, RI"	"US"	"2020-03-02"	41.824000000000000	-71.412800000000000	10	0	0	"Rhode Island"
(null)	"Spartanburg County, SC"	"US"	"2020-03-09"	34.860600000000000	-81.953500000000000	1	0	0	"South Carolina"
(null)	"Kershaw County, SC"	"US"	"2020-03-09"	34.367200000000000	-80.588300000000000	4	0	0	"South Carolina"
(null)	"Charleston County, SC"	"US"	"2020-03-07"	32.795700000000000	-79.784800000000000	3	0	0	"South Carolina"
(null)	"Kershaw County, SC"	"US"	"2020-03-07"	34.367200000000000	-80.588300000000000	2	0	0	"South Carolina"
(null)	"Davidson County, TN"	"US"	"2020-03-08"	36.134300000000000	-86.822000000000000	2	0	0	"Tennessee"
(null)	"Shelby County, TN"	"US"	"2020-03-08"	35.126900000000000	-89.925300000000000	2	0	0	"Tennessee"
(null)	"Williamson County, TN"	"US"	"2020-03-05"	35.917900000000000	-86.862200000000000	5	0	0	"Tennessee"
(null)	"Harris County, TX"	"US"	"2020-03-05"	29.775200000000000	-95.310300000000000	2	0	0	"Texas"
(null)	"Fort Bend County, TX"	"US"	"2020-03-05"	29.569300000000000	-95.814300000000000	2	0	0	"Texas"
(null)	"Lackland, TX (From Diamond Princess)"	"US"	"2020-02-22"	29.382900000000000	-98.613400000000000	4	0	0	"Texas"
(null)	"Harris County, TX"	"US"	"2020-03-07"	29.775200000000000	-95.310300000000000	10	0	0	"Texas"
(null)	"Harris County, TX"	"US"	"2020-03-09"	29.775200000000000	-95.310300000000000	6	0	0	"Texas"
(null)	"Harris County, TX"	"US"	"2020-03-06"	29.775200000000000	-95.310300000000000	3	0	0	"Texas"
(null)	"Lackland, TX"	"US"	"2020-02-21"	(null)	(null)	2	0	0	"Texas"
(null)	"Montgomery County, TX"	"US"	"2020-03-07"	30.321300000000000	-95.477800000000000	0	0	0	"Texas"
(null)	"San Antonio, TX"	"US"	"2020-02-13"	29.424100000000000	-98.493600000000000	26	0	0	"Texas"
(null)	"Collin County, TX"	"US"	"2020-03-09"	33.179500000000000	-96.493000000000000	1	0	0	"Texas"
(null)	"Fort Bend County, TX"	"US"	"2020-03-08"	29.569300000000000	-95.814300000000000	12	0	0	"Texas"
(null)	"Fort Bend County, TX"	"US"	"2020-03-07"	29.569300000000000	-95.814300000000000	3	0	0	"Texas"
(null)	"Lackland, TX (From Diamond Princess)"	"US"	"2020-02-24"	29.382900000000000	-98.613400000000000	0	0	0	"Texas"
(null)	"Davis County, UT"	"US"	"2020-03-07"	40.962900000000000	-112.095300000000000	3	0	0	"Utah"
(null)	"Unassigned Location, VT"	"US"	"2020-03-08"	44.337800000000000	-72.756300000000000	1	0	0	"Vermont"
(null)	"Bennington County, VT"	"US"	"2020-03-09"	43.027900000000000	-73.135000000000000	1	0	0	"Vermont"
(null)	"Fairfax County, VA"	"US"	"2020-03-08"	38.908500000000000	-77.240500000000000	4	0	0	"Virginia"
