cnty	ProvinceState	CountryRegion	reportdt	latfill	longfill	confirmed	deaths	recovered
"Gallia"	"Ohio"	"US"	"2020-03-25"	41.708603320000000	-80.748302180000000	1	1	0
"Lincoln"	"Arkansas"	"US"	"2020-03-27"	36.381771050000000	0E-15	5	0	0
"Pierce"	"Washington"	"US"	"2020-03-22"	48.822279760000000	0E-15	107	1	0
(null)	"Unassigned Location (From Diamond Princess)"	"US"	"2020-02-26"	35.443700000000000	139.638000000000000	84	0	0
"Polk"	"Arkansas"	"US"	"2020-03-24"	36.381771050000000	0E-15	1	0	0
"Tishomingo"	"Mississippi"	"US"	"2020-04-03"	34.880844630000000	0E-15	1	0	0
"Hancock"	"Indiana"	"US"	"2020-04-02"	41.644238680000000	0E-15	37	2	0
"Calhoun"	"Illinois"	"US"	"2020-03-22"	42.365423730000000	0E-15	0	0	0
"Dubuque"	"Iowa"	"US"	"2020-03-27"	43.381078620000000	0E-15	8	1	0
"Klickitat"	"Washington"	"US"	"2020-04-02"	48.822279760000000	0E-15	9	1	0
(null)	"Liaoning"	"China"	"2020-02-23"	41.295600000000000	122.608500000000000	121	1	73
"Washington"	"New York"	"US"	"2020-03-31"	44.745309050000000	0E-15	9	0	0
"Mobile"	"Alabama"	"US"	"2020-03-24"	34.901718750000000	0E-15	6	0	0
"Forrest"	"Mississippi"	"US"	"2020-04-02"	34.880844630000000	0E-15	26	1	0
"Gibson"	"Indiana"	"US"	"2020-03-22"	41.644238680000000	0E-15	0	0	0
"Salem"	"Virginia"	"US"	"2020-03-24"	39.201725820000000	0E-15	0	0	0
"Champaign"	"Illinois"	"US"	"2020-03-31"	42.365423730000000	0E-15	26	0	0
"Wake"	"North Carolina"	"US"	"2020-04-03"	36.493608620000000	0E-15	275	0	0
(null)	"Kansas"	"US"	"2020-03-17"	38.526600000000000	-96.726486000000000	36	2	0
"Baldwin"	"Alabama"	"US"	"2020-03-29"	34.901718750000000	0E-15	15	1	0
"Le Flore"	"Oklahoma"	"US"	"2020-03-22"	36.835326550000000	0E-15	0	0	0
(null)	(null)	"Philippines"	"2020-03-16"	13.000000000000000	122.000000000000000	142	12	2
"Grant"	"Arkansas"	"US"	"2020-03-27"	36.381771050000000	0E-15	3	0	0
"Van Buren"	"Michigan"	"US"	"2020-03-28"	47.631976530000000	0E-15	4	0	0
"Mercer"	"Missouri"	"US"	"2020-03-28"	40.479455880000000	0E-15	0	0	0
"Sedgwick"	"Colorado"	"US"	"2020-03-25"	40.875954120000000	0E-15	0	0	0
"Elko County"	"Nevada"	"US"	"2020-03-22"	41.406921860000000	0E-15	1	0	0
"Clark"	"Arkansas"	"US"	"2020-03-31"	36.381771050000000	0E-15	24	0	0
"Marquette"	"Wisconsin"	"US"	"2020-03-29"	46.528687680000000	0E-15	0	0	0
"Norman"	"Minnesota"	"US"	"2020-03-24"	48.777541060000000	0E-15	0	0	0
"Hancock"	"Illinois"	"US"	"2020-03-25"	42.365423730000000	0E-15	0	0	0
"Morgan"	"Missouri"	"US"	"2020-03-24"	40.479455880000000	0E-15	0	0	0
"Lake and Peninsula"	"Alaska"	"US"	"2020-03-23"	69.314792160000000	0E-15	0	0	0
"Greenwood"	"Kansas"	"US"	"2020-03-30"	39.827996320000000	-94.763782250000000	0	0	0
"Cherokee"	"Kansas"	"US"	"2020-03-30"	39.827996320000000	-94.763782250000000	2	0	0
(null)	(null)	"Iceland"	"2020-03-28"	64.963100000000000	-19.020800000000000	963	2	114
"Nemaha"	"Kansas"	"US"	"2020-03-22"	39.827996320000000	-94.763782250000000	0	0	0
"McHenry"	"Illinois"	"US"	"2020-04-01"	42.365423730000000	0E-15	69	2	0
"Essex"	"Virginia"	"US"	"2020-03-24"	39.201725820000000	0E-15	0	0	0
(null)	(null)	"Bolivia"	"2020-03-30"	-16.290200000000000	-63.588700000000000	97	4	0
"Todd"	"South Dakota"	"US"	"2020-04-02"	45.770749150000000	-96.655782800000000	1	0	0
"Franklin"	"Ohio"	"US"	"2020-03-23"	41.708603320000000	-80.748302180000000	44	2	0
"Miller"	"Missouri"	"US"	"2020-03-25"	40.479455880000000	0E-15	0	0	0
"Amador"	"California"	"US"	"2020-04-02"	41.742282750000000	0E-15	3	0	0
(null)	"Pennsylvania"	"US"	"2020-03-19"	40.590800000000000	-77.209755000000000	206	1	0
"Sandoval"	"New Mexico"	"US"	"2020-03-28"	36.605697020000000	-103.346887599999990	15	0	0
"Sevier"	"Arkansas"	"US"	"2020-03-27"	36.381771050000000	0E-15	1	0	0
(null)	(null)	"Kosovo"	"2020-03-31"	42.602636000000000	20.902977000000000	112	1	6
"Butts"	"Georgia"	"US"	"2020-04-03"	34.913691880000000	0E-15	9	0	0
(null)	(null)	"Switzerland"	"2020-03-10"	46.818200000000000	8.227500000000000	491	3	3
"Eagle"	"Colorado"	"US"	"2020-03-22"	40.875954120000000	0E-15	80	1	0
"LaPorte"	"Indiana"	"US"	"2020-03-29"	41.644238680000000	0E-15	6	0	0
"Kit Carson"	"Colorado"	"US"	"2020-04-03"	40.875954120000000	0E-15	4	0	0
(null)	(null)	"Jordan"	"2020-03-15"	31.240000000000000	36.510000000000000	8	0	1
"Hardin"	"Illinois"	"US"	"2020-03-28"	42.365423730000000	0E-15	0	0	0
"Kendall"	"Texas"	"US"	"2020-03-28"	36.278291050000000	-93.744088130000000	6	0	0
"Mercer"	"Kentucky"	"US"	"2020-03-23"	38.970651420000000	0E-15	0	0	0
"Pawnee"	"Oklahoma"	"US"	"2020-04-02"	36.835326550000000	0E-15	15	1	0
"Juneau"	"Alaska"	"US"	"2020-04-02"	69.314792160000000	0E-15	10	0	0
"Floyd"	"Indiana"	"US"	"2020-04-02"	41.644238680000000	0E-15	34	0	0
"Upshur"	"Texas"	"US"	"2020-03-22"	36.278291050000000	-93.744088130000000	1	0	0
"Koochiching"	"Minnesota"	"US"	"2020-03-24"	48.777541060000000	0E-15	0	0	0
"Out of TN"	"Tennessee"	"US"	"2020-03-25"	36.556065290000000	0E-15	100	0	0
(null)	(null)	"Maldives"	"2020-03-25"	3.202800000000000	73.220700000000000	13	0	8
(null)	(null)	"Luxembourg"	"2020-03-20"	49.815300000000000	6.131700000000000	484	4	0
"Morris"	"Texas"	"US"	"2020-03-24"	36.278291050000000	-93.744088130000000	0	0	0
"Esmeralda"	"Nevada"	"US"	"2020-03-22"	41.406921860000000	0E-15	0	0	0
"Baltimore"	"Maryland"	"US"	"2020-04-01"	39.623576280000000	0E-15	289	1	0
"Refugio"	"Texas"	"US"	"2020-03-23"	36.278291050000000	-93.744088130000000	0	0	0
"Jerome"	"Idaho"	"US"	"2020-04-03"	48.766847610000000	-111.205677300000000	8	0	0
"Carlisle"	"Kentucky"	"US"	"2020-03-27"	38.970651420000000	0E-15	0	0	0
"Tompkins"	"New York"	"US"	"2020-03-22"	44.745309050000000	0E-15	15	0	0
(null)	(null)	"Iceland"	"2020-03-02"	64.963100000000000	-19.020800000000000	6	0	0
(null)	"Toronto, ON"	"Canada"	"2020-02-24"	43.653200000000000	-79.383200000000000	9	0	6
"King and Queen"	"Virginia"	"US"	"2020-03-26"	39.201725820000000	0E-15	0	0	0
(null)	"Henan"	"China"	"2020-02-17"	33.882000000000000	113.614000000000000	1246	16	509
"Jefferson"	"Alabama"	"US"	"2020-03-27"	34.901718750000000	0E-15	177	0	0
(null)	(null)	"Iceland"	"2020-03-15"	64.963100000000000	-19.020800000000000	171	5	8
(null)	(null)	"Laos"	"2020-04-03"	19.856270000000002	102.495496000000000	10	0	0
"Evans"	"Georgia"	"US"	"2020-03-28"	34.913691880000000	0E-15	0	0	0
"Ben Hill"	"Georgia"	"US"	"2020-03-24"	34.913691880000000	0E-15	1	0	0
(null)	(null)	"Poland"	"2020-04-01"	51.919400000000000	19.145100000000000	2554	43	47
"St. Louis"	"Missouri"	"US"	"2020-03-24"	40.479455880000000	0E-15	100	1	0
(null)	"Toronto, ON"	"Canada"	"2020-03-08"	43.653200000000000	-79.383200000000000	28	0	3
"Cumberland"	"Kentucky"	"US"	"2020-03-28"	38.970651420000000	0E-15	0	0	0
(null)	"Sichuan"	"China"	"2020-02-25"	30.617100000000000	102.710300000000000	529	3	289
(null)	"Floyd County, GA"	"US"	"2020-03-06"	34.282900000000000	-85.230800000000000	1	0	0
"Hancock"	"Iowa"	"US"	"2020-04-03"	43.381078620000000	0E-15	3	0	0
(null)	(null)	"Norway"	"2020-03-30"	60.472000000000000	8.468900000000000	4445	32	12
(null)	(null)	"Poland"	"2020-03-19"	51.919400000000000	19.145100000000000	355	5	1
"Blackford"	"Indiana"	"US"	"2020-03-28"	41.644238680000000	0E-15	0	0	0
"Phelps"	"Missouri"	"US"	"2020-03-23"	40.479455880000000	0E-15	0	0	0
(null)	"Sichuan"	"China"	"2020-02-12"	30.617100000000000	102.710300000000000	436	1	92
(null)	"Shanghai"	"China"	"2020-01-29"	31.202000000000000	121.449100000000000	96	1	5
(null)	(null)	"Indonesia"	"2020-03-10"	-0.789300000000000	113.921300000000000	27	0	2
"Arapahoe"	"Colorado"	"US"	"2020-03-26"	40.875954120000000	0E-15	119	0	0
