Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Cuba,2021-06-30 11:21:36,21.521757,-77.78116700000001,188023.0,1270.0,172262,14491,1660.0103684984113,,,0.6754492801412593,192,CUB
Cyprus,2021-06-30 11:21:36,35.1264,33.4299,75431.0,374.0,39061,35996,6247.592890610182,,,0.4958173695165118,196,CYP
Czechia,2021-06-30 11:21:36,49.8175,15.472999999999999,1667287.0,30303.0,1635579,1405,15569.052221770473,,,1.817503525187925,203,CZE
Denmark,2021-06-30 11:21:36,56.2639,9.5018,294162.0,2535.0,288684,2935,5078.585816139386,,,0.8617700450772023,208,DNK
Diamond Princess,2021-06-30 11:21:36,,,712.0,13.0,699,0,,,,1.8258426966292134,9999,
Djibouti,2021-06-30 11:21:36,11.8251,42.5903,11602.0,155.0,11443,4,1174.2891208722249,,,1.3359765557662473,262,DJI
Dominica,2021-06-30 11:21:36,15.415,-61.371,193.0,0.0,191,2,268.08906668889165,,,0.0,212,DMA
Dominican Republic,2021-06-30 11:21:36,18.7357,-70.1627,324364.0,3815.0,265800,54749,2990.1075820729975,,,1.1761477845876855,214,DOM
Ecuador,2021-06-30 11:21:36,-1.8312,-78.1834,457489.0,21545.0,423688,12256,2593.025246187453,,,4.7094028490302495,218,ECU
Egypt,2021-06-30 11:21:36,26.820553000000004,30.802497999999996,281031.0,16148.0,210805,54078,274.62025649380104,,,5.745985318345663,818,EGY
El Salvador,2021-06-30 11:21:36,13.7942,-88.8965,78766.0,2381.0,72572,3813,1214.3626138012066,,,3.0228778914760177,222,SLV
Equatorial Guinea,2021-06-30 11:21:36,1.6508,10.2679,8734.0,121.0,8521,92,622.5298203473309,,,1.385390428211587,226,GNQ
Eritrea,2021-06-30 11:21:36,15.1794,39.7823,5936.0,23.0,5435,478,167.37973176946826,,,0.38746630727762804,232,ERI
Estonia,2021-06-30 11:21:36,58.5953,25.0136,131064.0,1269.0,127351,2444,9880.14675784127,,,0.9682292620399194,233,EST
Eswatini,2021-06-30 11:21:36,-26.5225,31.4659,19084.0,678.0,18107,299,1644.9398533310807,,,3.552714315657095,748,SWZ
Ethiopia,2021-06-30 11:21:36,9.145,40.4897,276037.0,4320.0,260302,11415,240.1082088751531,,,1.5650075895622688,231,ETH
Fiji,2021-06-30 11:21:36,-17.7134,178.065,4144.0,21.0,808,3315,462.2709282453784,,,0.5067567567567568,242,FJI
Finland,2021-06-30 11:21:36,61.9241,25.7482,95387.0,969.0,46000,48418,1721.5638839587216,,,1.0158617002316876,246,FIN
France,2021-06-30 11:21:36,46.2276,2.2137,5835982.0,111232.0,404988,5318597,8940.812009624977,,,1.90596886693619,250,FRA
Gabon,2021-06-30 11:21:36,-0.8037,11.6094,24984.0,159.0,24598,227,1122.5091295971476,,,0.6364073006724303,266,GAB
Gambia,2021-06-30 11:21:36,13.4432,-15.3101,6079.0,181.0,5858,40,251.54510515321948,,,2.977463398585294,270,GMB
Georgia,2021-06-30 11:21:36,42.3154,43.3569,366078.0,5316.0,351747,9015,9176.784673522721,,,1.4521495419009063,268,GEO
Germany,2021-06-30 11:21:36,51.165690999999995,10.451526,3735433.0,90884.0,3622220,22329,4458.41145341151,,,2.4330244980970077,276,DEU
Ghana,2021-06-30 11:21:36,7.9465,-1.0232,95642.0,795.0,93288,1559,307.7983113605743,,,0.8312247757261454,288,GHA
Greece,2021-06-30 11:21:36,39.0742,21.8243,421829.0,12676.0,93764,315389,4047.076020698728,,,3.0050091387742426,300,GRC
Grenada,2021-06-30 11:21:36,12.1165,-61.678999999999995,161.0,1.0,160,0,143.0869453159022,,,0.6211180124223602,308,GRD
Guatemala,2021-06-30 11:21:36,15.7835,-90.2308,292674.0,9147.0,264426,19101,1633.6295691897444,,,3.1253203222698294,320,GTM
Guinea,2021-06-30 11:21:36,9.9456,-9.6966,23753.0,169.0,22443,1141,180.86786115244954,,,0.7114890750642024,324,GIN
Guinea-Bissau,2021-06-30 11:21:36,11.8037,-15.1804,3853.0,69.0,3579,205,195.7827192913814,,,1.7908123540098624,624,GNB
Guyana,2021-06-30 11:21:36,4.860416000000001,-58.93018000000001,19959.0,468.0,17879,1612,2537.5083115189072,,,2.344806854050804,328,GUY
Haiti,2021-06-30 11:21:36,18.9712,-72.2852,18562.0,425.0,12842,5295,162.78839096541094,,,2.2896239629350283,332,HTI
Holy See,2021-06-30 11:21:36,41.9029,12.4534,27.0,0.0,27,0,3337.453646477132,,,0.0,336,VAT
Honduras,2021-06-30 11:21:36,15.2,-86.2419,262069.0,6980.0,92403,162686,2645.9300559901008,,,2.6634207021814866,340,HND
Hungary,2021-06-30 11:21:36,47.1625,19.5033,808128.0,29992.0,738782,39354,8365.411191105912,,,3.7112932604735884,348,HUN
Iceland,2021-06-30 11:21:36,64.9631,-19.0208,6555.0,29.0,6476,50,1920.8791208791208,,,0.4424103737604882,352,ISL
India,2021-06-30 11:21:36,20.593684,78.96288,30362848.0,398454.0,29427330,537064,2200.199385598329,,,1.3123077255466944,356,IND
Indonesia,2021-06-30 11:21:36,-0.7893,113.9213,2178272.0,58491.0,1880413,239368,796.3743650498104,,,2.685201848070397,360,IDN
