Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Rondonia,Brazil,2021-04-15 06:30:33,-11.5057,-63.5806,200700,4666,180089,15945.0,,11292.88638185936,,,2.3248629795715,7622,BRA,,
Roraima,Brazil,2021-04-15 06:30:33,-2.7376,-62.0751,92512,1417,85381,5714.0,,15272.029727895986,,,1.5316931857488758,7623,BRA,,
Santa Catarina,Brazil,2021-04-15 06:30:33,-27.2423,-50.2189,845367,12313,809739,23315.0,,11798.911565841167,,,1.456527165124733,7624,BRA,,
Sao Paulo,Brazil,2021-04-15 06:30:33,-23.5505,-46.6333,2686031,85475,2307994,292562.0,,5849.491787166586,,,3.1822045240728793,7625,BRA,,
Sergipe,Brazil,2021-04-15 06:30:33,-10.5741,-37.3857,186983,3849,170284,12850.0,,8134.307450832994,,,2.0584759042265874,7626,BRA,,
Tocantins,Brazil,2021-04-15 06:30:33,-10.1753,-48.2982,150210,2309,129261,18640.0,,9550.08246093437,,,1.5371812795419746,7627,BRA,,
Alberta,Canada,2021-04-15 06:30:33,53.9333,-116.5765,164531,2029,146933,15569.0,,3728.202058123615,,,1.233202253678638,12401,CAN,,
British Columbia,Canada,2021-04-15 06:30:33,53.7267,-127.6476,114870,1521,103360,9989.0,,2247.5418794709444,,,1.3241055105771742,12402,CAN,,
Diamond Princess,Canada,2021-04-15 06:30:33,,,0,1,,-1.0,,,,,,12413,CAN,,
Grand Princess,Canada,2021-04-15 06:30:33,,,13,0,13,0.0,,,,,0.0,12414,CAN,,
Manitoba,Canada,2021-04-15 06:30:33,53.7609,-98.8139,35539,954,33146,1439.0,,2579.931862909859,,,2.684374912068432,12403,CAN,,
New Brunswick,Canada,2021-04-15 06:30:33,46.5653,-66.4619,1752,33,1577,142.0,,224.6174004125678,,,1.8835616438356164,12404,CAN,,
Newfoundland and Labrador,Canada,2021-04-15 06:30:33,53.1355,-57.6604,1034,6,1010,18.0,,198.3255492792957,,,0.5802707930367504,12405,CAN,,
Northwest Territories,Canada,2021-04-15 06:30:33,64.8255,-124.8457,49,0,48,1.0,,109.12168181008373,,,0.0,12406,CAN,,
Nova Scotia,Canada,2021-04-15 06:30:33,44.681999999999995,-63.7443,1783,66,1675,42.0,,182.41211633862156,,,3.7016264722378014,12407,CAN,,
Nunavut,Canada,2021-04-15 06:30:33,70.2998,-83.1076,395,4,391,0.0,,1018.5662712738525,,,1.0126582278481013,12416,CAN,,
Ontario,Canada,2021-04-15 06:30:33,51.2538,-85.3232,406563,7592,363632,35339.0,,2763.5112892504785,,,1.8673612699630808,12408,CAN,,
Prince Edward Island,Canada,2021-04-15 06:30:33,46.5107,-63.4168,165,0,159,6.0,,104.3260536931423,,,0.0,12409,CAN,,
Quebec,Canada,2021-04-15 06:30:33,52.9399,-73.5491,331031,10763,306608,13660.0,,3877.297259183239,,,3.251357123653072,12410,CAN,,
Repatriated Travellers,Canada,2021-04-15 06:30:33,,,13,0,13,0.0,,,,,0.0,,,,
Saskatchewan,Canada,2021-04-15 06:30:33,52.9399,-106.4509,37085,458,34102,2525.0,,3138.3656633938863,,,1.2350006741270054,12411,CAN,,
Yukon,Canada,2021-04-15 06:30:33,64.2823,-135.0,76,1,73,2.0,,185.01387604070305,,,1.3157894736842106,12412,CAN,,
Antofagasta,Chile,2021-04-15 06:30:33,-23.6509,-70.3975,45874,909,43661,1304.0,,7550.853120977591,,,1.9815145834241619,15201,CHL,,
Araucania,Chile,2021-04-15 06:30:33,-38.9489,-72.3311,62092,756,58462,2874.0,,6486.673965550383,,,1.2175481543516073,15202,CHL,,
Arica y Parinacota,Chile,2021-04-15 06:30:33,-18.594,-69.4785,18571,363,17552,656.0,,8214.784931967373,,,1.9546604921652038,15203,CHL,,
Atacama,Chile,2021-04-15 06:30:33,-27.5661,-70.0503,15945,182,14787,976.0,,5518.370341657899,,,1.1414236437754781,15204,CHL,,
Aysen,Chile,2021-04-15 06:30:33,-45.9864,-73.7669,3844,29,3664,151.0,,3726.322728242114,,,0.7544224765868887,15205,CHL,,
Biobio,Chile,2021-04-15 06:30:33,-37.4464,-72.1416,105700,1719,99602,4379.0,,6789.546539226171,,,1.6263008514664143,15206,CHL,,
Coquimbo,Chile,2021-04-15 06:30:33,-29.959,-71.3389,29336,560,27808,968.0,,3872.299646508779,,,1.9089173711480774,15207,CHL,,
Los Lagos,Chile,2021-04-15 06:30:33,-41.9198,-72.1416,64788,855,62341,1592.0,,7817.952765027006,,,1.319688831265049,15208,CHL,,
Los Rios,Chile,2021-04-15 06:30:33,-40.231,-72.3311,30682,340,29033,1309.0,,7972.726115212415,,,1.1081415813832214,15209,CHL,,
Magallanes,Chile,2021-04-15 06:30:33,-52.368,-70.9863,23794,361,23004,429.0,,14287.858862807972,,,1.5171892073632007,15210,CHL,,
Maule,Chile,2021-04-15 06:30:33,-35.5183,-71.6885,61805,1073,56930,3802.0,,5914.637063974353,,,1.736105493083084,15211,CHL,,
